id;x;y;private;t
0;BDDED5AC591D41204287AC2A95F90404265C07CE688ACF0FFB2EA0E5618D7BB6;F6D6CD194D4E2436A317B1392679D77B557F2408582D23CD5A0A89DAF697C865;6898AF088C45F69285CB7D0C216516EC99DFEA96D7B85ECC1C1B39F7552C643A;101
1;B7BA4226C0FCB98B16A128EAB6EF8D1401B480417E956D9598454072A7D9C61B;68C3EDCCCF57AB90D7F1435DFA59C8D06D1CBE43BC4828E3A33C45566AE30D95;C8171FC236A44D25E40A071965B44BA6C269CD68D3F13C8047C223BC60C2622D;101
2;754067FDFC4E2370D030202C98D33AA306DF9D39E50255CEBF60C124E860C233;D4A02C7EB98B1A2D22ACA8CB943D89170D67A8CF5E178AF0735D701C312B363A;831FED1B4A3701E8E731C493FC08A10421D47D3667E8AC26BB2F0851FED34569;107
3;46B0FF05C71A9989948B15C6D022DB3A3C88AFA5ABD8307EC899B9A026747B78;53F222EA87A59EB8F1588749D4B07741D952A7F982CB6D7F256967CF7460B82B;55CFAACE90ED7F81F726FB7B5DA6103908A74A20477A41C428E80489A6F7F12D;101
4;D15E125844E37E65A3FAE3E5A35F8D71095ABB1D62BC77B29B52B65BC757D7C2;41C5DA1F8490339140319BB02FD0472EE073586BE76A18ACA17DEF3A4045859C;8FEAB0FEE3C021BFE79AA63A0935F77C1EC7F0E146BD254014981A266FA9047D;115
5;CC7E4A3BBAD93A9E6C6E1DA7102C558B00BF90EAE0BE4E2F6DED05FB4DF5B5FB;7B58A52D64D143A2D41B82B07665EB4C72FEDE9EF28632ABA91D1ADCB8B59EF5;58B7E4ED78CE86948B7B19F91428E356CA0651966894D1B4ED83EDE31BD56250;101
6;65AE578BFAE1E526CFC6F3BD844B43C3FE88888050B9554E1ADF4FEFB18FE2A2;ACA0F37D9442AE8242B22B138214063FE8AA267CD5DE0B79D14A2D52993AA0AA;160E4510315A0AB363CAF75CE658C25D80614A309717371D607773A2FEBE9863;111
7;8935E4BC69A198A355561FEE5B07C48981FF7355DE0DB97A4C1286455B1D2AC0;3E18A9865B426FF3B52679C78ED60121C35CA82F84FAEC7BA12B3246F6D98C9D;7D30836E5ACA9DFCFC2ED3326E3D1C7232BB8B3F61302D8380B4D92495415858;101
8;DDE0711DF1BF59D34176E135A1DD75CE55B297F3B84960FA988CBD6DF88EFF13;DCB685DE0186A6C7D94DA43DFE7A4FB5D46CD4FDB26B4F36BA9722E8B63D358F;D6906EC15EA4269E6AA67853BF44361933962AADA4E03F80B49DDF862B0BF6DA;115
9;A80BE859F1C1486FF0109B51C8E365CD139636294381CFE59DD897452344BF3C;27E97DC681C846CD84A665EE7EE5E04B3FD48633C99A305E3CCA88CADA0AAD5E;E7DC14722B82C2A30915A6D610C0E53C2AF9799A89C9C05BB243B9BD19B8ACAF;101
10;0011AB7661C123AA0C39FABCFE68E50B3E1569AB5BB098E1DAEC10637D30F0B5;94881FDD862D84B57A38AB76903B3ABDA980EC593009EBA6705EF901BEC8272D;A2506C3F2C2EFD79D181C50CF8EF0A347DC3B958B7D4397BA7318C33C7397753;116
11;F95EF20CE39E949914709E4C3D8C8BE3355BEF8924B76240959B0B0FEF18BD3B;8235C970D8154D74F07DA440541E60CC371811E9AE24069BD44738C3A8AA7DF2;6E82DDFD1F50619F760824F649F6B01A0CA49C9E308501ADBFA97F5765F9D1B1;103
12;9108C9DED6D0E66E8C0AA924FE3634E3E618F743C23F8AD1C345E236F2ECEBE7;D5F4C2B672A4AD8276162A9C10C2CD087B05BE92C6A3A1739912073C91AD1ABD;B6CB97561DC8EA43AE2D418018FEE02C84B0E89F51CCF05AE17058E337F90EF0;108
13;2097536DA9ED3620B3D68228B311C39F60EA8875A23C0016C9680F8C42E2E147;B5747DF9D61769CD42562D6CB75D0D2AE7044FA67303E02E54EC9028EF6AC76B;00981FF7BEECD15FFAFEBDA29B7D9560D587ABCBE9F2F80443B580FC36DCAB31;99
14;E908FCA358D38FD4D278A8FE558C4181EC2F7825E18078550935B99AA2A8771C;0A560C31DE2F38C2E5F9BC48EEC8CA49A2E801033F48C4590DA2EC7A6F1B764F;F945DA429DBD4B448B568BEDC872489DF51B3955D72800F2A08A1A7B95E52683;112
15;67A3845B7250DE3F3CC397B3F39EA1CD1E9E6722572EF81C90CF40E733EB40A0;20AFFE15091DCBC43FA4FEC43320F3A2C1F52A94CC5E173E2DA08E51D6DBC481;290C8B7E4AC4835AFC4B2A9FB5670681DB7C48353CD26AE0AB4ECA8C6D235E00;101
16;A6233C719343DE7F43C09740FCBB0E24C05D3F1A8AF100402AA8980EC52ECCE9;D96F4EB4133E137EFDDBADC6BEAA583DB19F19F36EF93A8AAAAB66CDFB653DD8;B67D7180E3777241DAD8FFB8A8ADE4C335FAF103137DC00AE885DD6EA71AFFAE;110
17;B3B0F2665B6E65822B5100699CB745442019B1AA4F635261A4BE16A58EC918EC;5969699B87566987AC7AB10DD87E198E63F72E9AA0668B00D035A263035A82BB;16306B6CA7FD5134BB5852A1C648CB89075F162F589612646990E85210562620;102
18;D9DF98397F81B55EF39ADC9F0CB950A623A217D0398DBF6122DC51BF4795D7F0;8BC5DA0A2B2182AEA526ABA06A300C18A04221B07C2AB00EE0A22972FC54D973;977473689F07F656D49F27D9116A608A39EF06F3C7C909B1A36F15A00E1BA52B;116
19;6EE3125FA38425F3420A0A25C3D312E57AA9CD9CA292DA69C4E5435F5856E95F;8D57043D7253581E2A45D1982B249408F1809BAF842C1E85FF77B4D16BBE5357;F2DBEBAE3C0C14AE8BC59AAA24D1F74D48761B8DC99DA75A8BCA7D71BACFB4EC;110
