duration,return_code
0.056769, 0000
0.073076, 0000
0.057004, 0000
0.065059, 0000
0.055969, 0000
0.066147, 0000
0.055948, 0000
0.069002, 0000
0.057218, 0000
0.061180, 0000
0.057082, 0000
0.065667, 0000
0.056183, 0000
0.069706, 0000
0.056242, 0000
0.066617, 0000
0.057088, 0000
0.069995, 0000
0.055687, 0000
0.070109, 0000
0.055934, 0000
0.069980, 0000
0.056168, 0000
0.070009, 0000
0.056651, 0000
0.070326, 0000
0.057116, 0000
0.066837, 0000
0.055801, 0000
0.069687, 0000
0.056016, 0000
0.070025, 0000
0.056103, 0000
0.071292, 0000
0.056240, 0000
0.065116, 0000
0.055723, 0000
0.067811, 0000
0.055999, 0000
0.071931, 0000
0.056974, 0000
0.065203, 0000
0.056273, 0000
0.066836, 0000
0.057126, 0000
0.069960, 0000
0.056177, 0000
0.073120, 0000
0.055960, 0000
0.071003, 0000
0.056366, 0000
0.065857, 0000
0.057275, 0000
0.064939, 0000
0.056123, 0000
0.068619, 0000
0.055877, 0000
0.069208, 0000
0.056054, 0000
0.066167, 0000
0.055926, 0000
0.069931, 0000
0.057116, 0000
0.069855, 0000
0.055973, 0000
0.069219, 0000
0.056388, 0000
0.070044, 0000
0.056000, 0000
0.067145, 0000
0.056019, 0000
0.073119, 0000
0.056524, 0000
0.066632, 0000
0.055957, 0000
0.069615, 0000
0.056130, 0000
0.066065, 0000
0.056124, 0000
0.070961, 0000
0.056202, 0000
0.073105, 0000
0.056125, 0000
0.074015, 0000
0.056150, 0000
0.073034, 0000
0.055997, 0000
0.066139, 0000
0.057493, 0000
0.066231, 0000
0.056025, 0000
0.068133, 0000
0.056036, 0000
0.070168, 0000
0.056169, 0000
0.055794, 0000
0.056125, 0000
0.056209, 0000
0.059004, 0000
0.056121, 0000
0.069062, 0000
0.056018, 0000
0.069932, 0000
0.055919, 0000
0.069979, 0000
0.066161, 0000
0.064959, 0000
0.057130, 0000
0.056235, 0000
0.056914, 0000
0.056413, 0000
0.056165, 0000
0.056005, 0000
0.069044, 0000
0.056030, 0000
0.068890, 0000
0.056286, 0000
0.073260, 0000
0.055911, 0000
0.070032, 0000
0.056064, 0000
0.066064, 0000
0.056030, 0000
0.069136, 0000
0.055991, 0000
0.070941, 0000
0.056015, 0000
0.060045, 0000
0.056050, 0000
0.065137, 0000
0.057019, 0000
0.062277, 0000
0.066036, 0000
0.065081, 0000
0.056259, 0000
0.068882, 0000
0.056001, 0000
0.069202, 0000
0.056149, 0000
0.070123, 0000
0.055541, 0000
0.071016, 0000
0.056254, 0000
0.069734, 0000
0.055973, 0000
0.055830, 0000
0.055955, 0000
0.056215, 0000
0.061441, 0000
0.056138, 0000
0.066012, 0000
0.056176, 0000
0.073707, 0000
0.056089, 0000
0.066173, 0000
0.055815, 0000
0.073776, 0000
0.056089, 0000
0.067460, 0000
0.056005, 0000
0.069206, 0000
0.056657, 0000
0.069922, 0000
0.055999, 0000
0.068128, 0000
0.055821, 0000
0.069087, 0000
0.055923, 0000
0.070662, 0000
0.057018, 0000
0.067042, 0000
0.055947, 0000
0.071141, 0000
0.056204, 0000
0.069096, 0000
0.056244, 0000
0.069676, 0000
0.055981, 0000
0.064880, 0000
0.056644, 0000
0.070365, 0000
0.057105, 0000
0.067059, 0000
0.056257, 0000
0.067011, 0000
0.056123, 0000
0.068042, 0000
0.056099, 0000
0.070221, 0000
0.055766, 0000
0.074082, 0000
0.056197, 0000
0.065737, 0000
0.056112, 0000
0.068981, 0000
0.055985, 0000
0.066076, 0000
0.056017, 0000
