INFO: Keygen: creating primary...
INFO: Created ECC 0x0003 primary key
INFO: Created primary object with handle 80000000
INFO: Keygen 79: type 0001 | keybits 1024 | curve 0000 | duration 0.670091 | rc 0000
INFO: Keygen 80: type 0001 | keybits 1024 | curve 0000 | duration 1.269158 | rc 0000
INFO: Keygen 81: type 0001 | keybits 1024 | curve 0000 | duration 0.814126 | rc 0000
INFO: Keygen 82: type 0001 | keybits 1024 | curve 0000 | duration 1.268796 | rc 0000
INFO: Keygen 83: type 0001 | keybits 1024 | curve 0000 | duration 1.246708 | rc 0000
INFO: Keygen 84: type 0001 | keybits 1024 | curve 0000 | duration 1.660148 | rc 0000
INFO: Keygen 85: type 0001 | keybits 1024 | curve 0000 | duration 1.249978 | rc 0000
INFO: Keygen 86: type 0001 | keybits 1024 | curve 0000 | duration 0.609155 | rc 0000
INFO: Keygen 87: type 0001 | keybits 1024 | curve 0000 | duration 1.021293 | rc 0000
INFO: Keygen 88: type 0001 | keybits 1024 | curve 0000 | duration 0.957726 | rc 0000
INFO: Keygen 89: type 0001 | keybits 1024 | curve 0000 | duration 0.730754 | rc 0000
INFO: Keygen 90: type 0001 | keybits 1024 | curve 0000 | duration 0.255811 | rc 0000
INFO: Keygen 91: type 0001 | keybits 1024 | curve 0000 | duration 1.208051 | rc 0000
INFO: Keygen 92: type 0001 | keybits 1024 | curve 0000 | duration 2.242125 | rc 0000
INFO: Keygen 93: type 0001 | keybits 1024 | curve 0000 | duration 0.361181 | rc 0000
INFO: Keygen 94: type 0001 | keybits 1024 | curve 0000 | duration 1.496078 | rc 0000
INFO: Keygen 95: type 0001 | keybits 1024 | curve 0000 | duration 1.352105 | rc 0000
INFO: Keygen 96: type 0001 | keybits 1024 | curve 0000 | duration 1.188729 | rc 0000
INFO: Keygen 97: type 0001 | keybits 1024 | curve 0000 | duration 1.516144 | rc 0000
INFO: Keygen 98: type 0001 | keybits 1024 | curve 0000 | duration 0.359172 | rc 0000
INFO: Keygen 99: type 0001 | keybits 1024 | curve 0000 | duration 1.993022 | rc 0000
INFO: Keygen 100: type 0001 | keybits 1024 | curve 0000 | duration 0.379864 | rc 0000
INFO: Keygen 101: type 0001 | keybits 1024 | curve 0000 | duration 1.142143 | rc 0000
INFO: Keygen 102: type 0001 | keybits 1024 | curve 0000 | duration 1.746807 | rc 0000
INFO: Keygen 103: type 0001 | keybits 1024 | curve 0000 | duration 0.503005 | rc 0000
INFO: Keygen 104: type 0001 | keybits 1024 | curve 0000 | duration 0.440129 | rc 0000
INFO: Keygen 105: type 0001 | keybits 1024 | curve 0000 | duration 0.978808 | rc 0000
INFO: Keygen 106: type 0001 | keybits 1024 | curve 0000 | duration 0.317088 | rc 0000
INFO: Keygen 107: type 0001 | keybits 1024 | curve 0000 | duration 0.503046 | rc 0000
INFO: Keygen 108: type 0001 | keybits 1024 | curve 0000 | duration 0.565051 | rc 0000
INFO: Keygen 109: type 0001 | keybits 1024 | curve 0000 | duration 1.166172 | rc 0000
INFO: Keygen 110: type 0001 | keybits 1024 | curve 0000 | duration 0.634024 | rc 0000
INFO: Keygen 111: type 0001 | keybits 1024 | curve 0000 | duration 1.083869 | rc 0000
INFO: Keygen 112: type 0001 | keybits 1024 | curve 0000 | duration 0.587228 | rc 0000
INFO: Keygen 113: type 0001 | keybits 1024 | curve 0000 | duration 0.834171 | rc 0000
INFO: Keygen 114: type 0001 | keybits 1024 | curve 0000 | duration 0.568171 | rc 0000
INFO: Keygen 115: type 0001 | keybits 1024 | curve 0000 | duration 4.232099 | rc 0000
INFO: Keygen 116: type 0001 | keybits 1024 | curve 0000 | duration 0.916086 | rc 0000
INFO: Keygen 117: type 0001 | keybits 1024 | curve 0000 | duration 1.973188 | rc 0000
INFO: Keygen 118: type 0001 | keybits 1024 | curve 0000 | duration 0.753191 | rc 0000
INFO: Keygen 119: type 0001 | keybits 1024 | curve 0000 | duration 1.330737 | rc 0000
INFO: Keygen 120: type 0001 | keybits 1024 | curve 0000 | duration 0.875742 | rc 0000
INFO: Keygen 121: type 0001 | keybits 1024 | curve 0000 | duration 0.483147 | rc 0000
INFO: Keygen 122: type 0001 | keybits 1024 | curve 0000 | duration 0.235116 | rc 0000
INFO: Keygen 123: type 0001 | keybits 1024 | curve 0000 | duration 0.689800 | rc 0000
INFO: Keygen 124: type 0001 | keybits 1024 | curve 0000 | duration 0.548099 | rc 0000
INFO: Keygen 125: type 0001 | keybits 1024 | curve 0000 | duration 1.248173 | rc 0000
INFO: Keygen 126: type 0001 | keybits 1024 | curve 0000 | duration 1.121707 | rc 0000
INFO: Keygen 127: type 0001 | keybits 1024 | curve 0000 | duration 0.773108 | rc 0000
INFO: Keygen 128: type 0001 | keybits 1024 | curve 0000 | duration 2.054025 | rc 0000
INFO: Keygen 129: type 0001 | keybits 1024 | curve 0000 | duration 1.107126 | rc 0000
INFO: Keygen 130: type 0001 | keybits 1024 | curve 0000 | duration 1.371803 | rc 0000
INFO: Keygen 131: type 0001 | keybits 1024 | curve 0000 | duration 0.669116 | rc 0000
INFO: Keygen 132: type 0001 | keybits 1024 | curve 0000 | duration 0.564723 | rc 0000
INFO: Keygen 133: type 0001 | keybits 1024 | curve 0000 | duration 1.060166 | rc 0000
INFO: Keygen 134: type 0001 | keybits 1024 | curve 0000 | duration 0.503898 | rc 0000
INFO: Keygen 135: type 0001 | keybits 1024 | curve 0000 | duration 0.793191 | rc 0000
INFO: Keygen 136: type 0001 | keybits 1024 | curve 0000 | duration 0.751176 | rc 0000
INFO: Keygen 137: type 0001 | keybits 1024 | curve 0000 | duration 1.663841 | rc 0000
INFO: Keygen 138: type 0001 | keybits 1024 | curve 0000 | duration 1.289887 | rc 0000
INFO: Keygen 139: type 0001 | keybits 1024 | curve 0000 | duration 0.233200 | rc 0000
INFO: Keygen 140: type 0001 | keybits 1024 | curve 0000 | duration 1.310815 | rc 0000
INFO: Keygen 141: type 0001 | keybits 1024 | curve 0000 | duration 1.145156 | rc 0000
INFO: Keygen 142: type 0001 | keybits 1024 | curve 0000 | duration 1.866974 | rc 0000
INFO: Keygen 143: type 0001 | keybits 1024 | curve 0000 | duration 1.041044 | rc 0000
INFO: Keygen 144: type 0001 | keybits 1024 | curve 0000 | duration 0.898137 | rc 0000
INFO: Keygen 145: type 0001 | keybits 1024 | curve 0000 | duration 1.227729 | rc 0000
INFO: Keygen 146: type 0001 | keybits 1024 | curve 0000 | duration 0.730286 | rc 0000
INFO: Keygen 147: type 0001 | keybits 1024 | curve 0000 | duration 1.123004 | rc 0000
INFO: Keygen 148: type 0001 | keybits 1024 | curve 0000 | duration 0.544115 | rc 0000
INFO: Keygen 149: type 0001 | keybits 1024 | curve 0000 | duration 0.916817 | rc 0000
INFO: Keygen 150: type 0001 | keybits 1024 | curve 0000 | duration 0.650054 | rc 0000
INFO: Keygen 151: type 0001 | keybits 1024 | curve 0000 | duration 0.503789 | rc 0000
INFO: Keygen 152: type 0001 | keybits 1024 | curve 0000 | duration 0.938811 | rc 0000
INFO: Keygen 153: type 0001 | keybits 1024 | curve 0000 | duration 0.421132 | rc 0000
INFO: Keygen 154: type 0001 | keybits 1024 | curve 0000 | duration 1.436128 | rc 0000
INFO: Keygen 155: type 0001 | keybits 1024 | curve 0000 | duration 0.464143 | rc 0000
INFO: Keygen 156: type 0001 | keybits 1024 | curve 0000 | duration 0.834792 | rc 0000
INFO: Keygen 157: type 0001 | keybits 1024 | curve 0000 | duration 1.064147 | rc 0000
INFO: Keygen 158: type 0001 | keybits 1024 | curve 0000 | duration 0.794104 | rc 0000
INFO: Keygen 159: type 0001 | keybits 1024 | curve 0000 | duration 1.375148 | rc 0000
INFO: Keygen 160: type 0001 | keybits 1024 | curve 0000 | duration 0.419050 | rc 0000
INFO: Keygen 161: type 0001 | keybits 1024 | curve 0000 | duration 0.339048 | rc 0000
INFO: Keygen 162: type 0001 | keybits 1024 | curve 0000 | duration 1.785163 | rc 0000
INFO: Keygen 163: type 0001 | keybits 1024 | curve 0000 | duration 1.415079 | rc 0000
INFO: Keygen 164: type 0001 | keybits 1024 | curve 0000 | duration 0.442134 | rc 0000
INFO: Keygen 165: type 0001 | keybits 1024 | curve 0000 | duration 0.960109 | rc 0000
INFO: Keygen 166: type 0001 | keybits 1024 | curve 0000 | duration 0.607770 | rc 0000
INFO: Keygen 167: type 0001 | keybits 1024 | curve 0000 | duration 2.385744 | rc 0000
INFO: Keygen 168: type 0001 | keybits 1024 | curve 0000 | duration 1.994787 | rc 0000
INFO: Keygen 169: type 0001 | keybits 1024 | curve 0000 | duration 0.731024 | rc 0000
INFO: Keygen 170: type 0001 | keybits 1024 | curve 0000 | duration 0.504175 | rc 0000
INFO: Keygen 171: type 0001 | keybits 1024 | curve 0000 | duration 0.298055 | rc 0000
INFO: Keygen 172: type 0001 | keybits 1024 | curve 0000 | duration 0.731581 | rc 0000
INFO: Keygen 173: type 0001 | keybits 1024 | curve 0000 | duration 1.019761 | rc 0000
INFO: Keygen 174: type 0001 | keybits 1024 | curve 0000 | duration 0.649303 | rc 0000
INFO: Keygen 175: type 0001 | keybits 1024 | curve 0000 | duration 1.125116 | rc 0000
INFO: Keygen 176: type 0001 | keybits 1024 | curve 0000 | duration 1.515931 | rc 0000
INFO: Keygen 177: type 0001 | keybits 1024 | curve 0000 | duration 0.733181 | rc 0000
INFO: Keygen 178: type 0001 | keybits 1024 | curve 0000 | duration 0.648248 | rc 0000
INFO: Keygen 179: type 0001 | keybits 1024 | curve 0000 | duration 1.228834 | rc 0000
INFO: Keygen 180: type 0001 | keybits 1024 | curve 0000 | duration 0.523045 | rc 0000
INFO: Keygen 181: type 0001 | keybits 1024 | curve 0000 | duration 1.144044 | rc 0000
INFO: Keygen 182: type 0001 | keybits 1024 | curve 0000 | duration 1.538978 | rc 0000
INFO: Keygen 183: type 0001 | keybits 1024 | curve 0000 | duration 0.794322 | rc 0000
INFO: Keygen 184: type 0001 | keybits 1024 | curve 0000 | duration 0.255090 | rc 0000
INFO: Keygen 185: type 0001 | keybits 1024 | curve 0000 | duration 0.522722 | rc 0000
INFO: Keygen 186: type 0001 | keybits 1024 | curve 0000 | duration 1.024158 | rc 0000
INFO: Keygen 187: type 0001 | keybits 1024 | curve 0000 | duration 0.876812 | rc 0000
INFO: Keygen 188: type 0001 | keybits 1024 | curve 0000 | duration 1.020106 | rc 0000
INFO: Keygen 189: type 0001 | keybits 1024 | curve 0000 | duration 0.732162 | rc 0000
INFO: Keygen 190: type 0001 | keybits 1024 | curve 0000 | duration 1.329024 | rc 0000
INFO: Keygen 191: type 0001 | keybits 1024 | curve 0000 | duration 1.805024 | rc 0000
INFO: Keygen 192: type 0001 | keybits 1024 | curve 0000 | duration 0.897010 | rc 0000
INFO: Keygen 193: type 0001 | keybits 1024 | curve 0000 | duration 0.297984 | rc 0000
INFO: Keygen 194: type 0001 | keybits 1024 | curve 0000 | duration 1.867210 | rc 0000
INFO: Keygen 195: type 0001 | keybits 1024 | curve 0000 | duration 1.433058 | rc 0000
ERROR: Cannot get digest (1894)
INFO: Keygen 196: type 0001 | keybits 1024 | curve 0000 | duration 0.357019 | rc 0000
INFO: Keygen 197: type 0001 | keybits 1024 | curve 0000 | duration 0.753074 | rc 0000
INFO: Keygen 198: type 0001 | keybits 1024 | curve 0000 | duration 1.475095 | rc 0000
INFO: Keygen 199: type 0001 | keybits 1024 | curve 0000 | duration 1.415134 | rc 0000
INFO: Keygen 200: type 0001 | keybits 1024 | curve 0000 | duration 0.566976 | rc 0000
INFO: Keygen 201: type 0001 | keybits 1024 | curve 0000 | duration 0.254983 | rc 0000
INFO: Keygen 202: type 0001 | keybits 1024 | curve 0000 | duration 0.669969 | rc 0000
INFO: Keygen 203: type 0001 | keybits 1024 | curve 0000 | duration 1.229150 | rc 0000
INFO: Keygen 204: type 0001 | keybits 1024 | curve 0000 | duration 0.399052 | rc 0000
INFO: Keygen 205: type 0001 | keybits 1024 | curve 0000 | duration 0.795136 | rc 0000
INFO: Keygen 206: type 0001 | keybits 1024 | curve 0000 | duration 0.233958 | rc 0000
INFO: Keygen 207: type 0001 | keybits 1024 | curve 0000 | duration 1.127077 | rc 0000
INFO: Keygen 208: type 0001 | keybits 1024 | curve 0000 | duration 0.688684 | rc 0000
INFO: Keygen 209: type 0001 | keybits 1024 | curve 0000 | duration 1.310562 | rc 0000
INFO: Keygen 210: type 0001 | keybits 1024 | curve 0000 | duration 0.441123 | rc 0000
INFO: Keygen 211: type 0001 | keybits 1024 | curve 0000 | duration 3.194137 | rc 0000
INFO: Keygen 212: type 0001 | keybits 1024 | curve 0000 | duration 0.565592 | rc 0000
ERROR: Cannot get digest (1894)
INFO: Keygen 213: type 0001 | keybits 1024 | curve 0000 | duration 0.627762 | rc 0000
INFO: Keygen 214: type 0001 | keybits 1024 | curve 0000 | duration 0.873908 | rc 0000
INFO: Keygen 215: type 0001 | keybits 1024 | curve 0000 | duration 0.813111 | rc 0000
INFO: Keygen 216: type 0001 | keybits 1024 | curve 0000 | duration 1.352908 | rc 0000
INFO: Keygen 217: type 0001 | keybits 1024 | curve 0000 | duration 1.060197 | rc 0000
INFO: Keygen 218: type 0001 | keybits 1024 | curve 0000 | duration 0.584151 | rc 0000
INFO: Keygen 219: type 0001 | keybits 1024 | curve 0000 | duration 1.930031 | rc 0000
INFO: Keygen 220: type 0001 | keybits 1024 | curve 0000 | duration 1.972745 | rc 0000
INFO: Keygen 221: type 0001 | keybits 1024 | curve 0000 | duration 1.600067 | rc 0000
INFO: Keygen 222: type 0001 | keybits 1024 | curve 0000 | duration 1.355188 | rc 0000
INFO: Keygen 223: type 0001 | keybits 1024 | curve 0000 | duration 0.420897 | rc 0000
INFO: Keygen 224: type 0001 | keybits 1024 | curve 0000 | duration 2.778394 | rc 0000
INFO: Keygen 225: type 0001 | keybits 1024 | curve 0000 | duration 2.988996 | rc 0000
INFO: Keygen 226: type 0001 | keybits 1024 | curve 0000 | duration 1.313039 | rc 0000
INFO: Keygen 227: type 0001 | keybits 1024 | curve 0000 | duration 0.464537 | rc 0000
INFO: Keygen 228: type 0001 | keybits 1024 | curve 0000 | duration 0.649957 | rc 0000
INFO: Keygen 229: type 0001 | keybits 1024 | curve 0000 | duration 0.792677 | rc 0000
INFO: Keygen 230: type 0001 | keybits 1024 | curve 0000 | duration 1.889128 | rc 0000
INFO: Keygen 231: type 0001 | keybits 1024 | curve 0000 | duration 0.545181 | rc 0000
INFO: Keygen 232: type 0001 | keybits 1024 | curve 0000 | duration 0.731140 | rc 0000
INFO: Keygen 233: type 0001 | keybits 1024 | curve 0000 | duration 1.062277 | rc 0000
INFO: Keygen 234: type 0001 | keybits 1024 | curve 0000 | duration 1.911103 | rc 0000
INFO: Keygen 235: type 0001 | keybits 1024 | curve 0000 | duration 1.849099 | rc 0000
INFO: Keygen 236: type 0001 | keybits 1024 | curve 0000 | duration 1.828057 | rc 0000
INFO: Keygen 237: type 0001 | keybits 1024 | curve 0000 | duration 1.518024 | rc 0000
INFO: Keygen 238: type 0001 | keybits 1024 | curve 0000 | duration 1.145157 | rc 0000
INFO: Keygen 239: type 0001 | keybits 1024 | curve 0000 | duration 0.920980 | rc 0000
INFO: Keygen 240: type 0001 | keybits 1024 | curve 0000 | duration 0.878135 | rc 0000
INFO: Keygen 241: type 0001 | keybits 1024 | curve 0000 | duration 1.001079 | rc 0000
INFO: Keygen 242: type 0001 | keybits 1024 | curve 0000 | duration 0.379873 | rc 0000
INFO: Keygen 243: type 0001 | keybits 1024 | curve 0000 | duration 0.937199 | rc 0000
INFO: Keygen 244: type 0001 | keybits 1024 | curve 0000 | duration 2.385212 | rc 0000
INFO: Keygen 245: type 0001 | keybits 1024 | curve 0000 | duration 1.763219 | rc 0000
INFO: Keygen 246: type 0001 | keybits 1024 | curve 0000 | duration 0.235448 | rc 0000
INFO: Keygen 247: type 0001 | keybits 1024 | curve 0000 | duration 0.484886 | rc 0000
INFO: Keygen 248: type 0001 | keybits 1024 | curve 0000 | duration 0.856311 | rc 0000
INFO: Keygen 249: type 0001 | keybits 1024 | curve 0000 | duration 0.626965 | rc 0000
INFO: Keygen 250: type 0001 | keybits 1024 | curve 0000 | duration 1.148037 | rc 0000
INFO: Keygen 251: type 0001 | keybits 1024 | curve 0000 | duration 1.643132 | rc 0000
INFO: Keygen 252: type 0001 | keybits 1024 | curve 0000 | duration 0.585840 | rc 0000
INFO: Keygen 253: type 0001 | keybits 1024 | curve 0000 | duration 0.977940 | rc 0000
INFO: Keygen 254: type 0001 | keybits 1024 | curve 0000 | duration 1.557069 | rc 0000
INFO: Keygen 255: type 0001 | keybits 1024 | curve 0000 | duration 0.855718 | rc 0000
INFO: Keygen 256: type 0001 | keybits 1024 | curve 0000 | duration 0.814496 | rc 0000
INFO: Keygen 257: type 0001 | keybits 1024 | curve 0000 | duration 1.204595 | rc 0000
INFO: Keygen 258: type 0001 | keybits 1024 | curve 0000 | duration 0.731086 | rc 0000
INFO: Keygen 259: type 0001 | keybits 1024 | curve 0000 | duration 0.628020 | rc 0000
INFO: Keygen 260: type 0001 | keybits 1024 | curve 0000 | duration 0.565216 | rc 0000
INFO: Keygen 261: type 0001 | keybits 1024 | curve 0000 | duration 0.442602 | rc 0000
INFO: Keygen 262: type 0001 | keybits 1024 | curve 0000 | duration 2.676110 | rc 0000
INFO: Keygen 263: type 0001 | keybits 1024 | curve 0000 | duration 1.868152 | rc 0000
INFO: Keygen 264: type 0001 | keybits 1024 | curve 0000 | duration 0.754125 | rc 0000
INFO: Keygen 265: type 0001 | keybits 1024 | curve 0000 | duration 1.103069 | rc 0000
INFO: Keygen 266: type 0001 | keybits 1024 | curve 0000 | duration 0.732065 | rc 0000
