duration,return_code
0.101142, 0000
0.101028, 0000
0.107197, 0000
0.101972, 0000
0.115918, 0000
0.101029, 0000
0.111895, 0000
0.101022, 0000
0.115086, 0000
0.101522, 0000
0.116007, 0000
0.103024, 0000
0.108220, 0000
0.099076, 0000
0.112061, 0000
0.101612, 0000
0.110653, 0000
0.102177, 0000
0.116339, 0000
0.110703, 0000
0.112048, 0000
0.102113, 0000
0.102148, 0000
0.115135, 0000
0.102095, 0000
0.116079, 0000
0.101663, 0000
0.111921, 0000
0.111038, 0000
0.111084, 0000
0.101040, 0000
0.119014, 0000
0.102612, 0000
0.113930, 0000
0.102126, 0000
0.116061, 0000
0.103076, 0000
0.111969, 0000
0.101847, 0000
0.115159, 0000
0.101910, 0000
0.115048, 0000
0.102076, 0000
0.115034, 0000
0.102148, 0000
0.115149, 0000
0.102045, 0000
0.115183, 0000
0.103106, 0000
0.112015, 0000
0.101889, 0000
0.110116, 0000
0.103065, 0000
0.114994, 0000
0.101936, 0000
0.112092, 0000
0.101958, 0000
0.116112, 0000
0.102164, 0000
0.114972, 0000
0.100161, 0000
0.116071, 0000
0.101027, 0000
0.114132, 0000
0.102178, 0000
0.111984, 0000
0.102062, 0000
0.115148, 0000
0.101920, 0000
0.114183, 0000
0.101927, 0000
0.115139, 0000
0.104883, 0000
0.111990, 0000
0.102054, 0000
0.115051, 0000
0.101993, 0000
0.110068, 0000
0.102093, 0000
0.119097, 0000
0.100886, 0000
0.114941, 0000
0.102651, 0000
0.112113, 0000
0.101863, 0000
0.115072, 0000
0.100639, 0000
0.119840, 0000
0.102017, 0000
0.114749, 0000
0.103023, 0000
0.114991, 0000
0.102204, 0000
0.111995, 0000
0.100988, 0000
0.113981, 0000
0.101944, 0000
0.114123, 0000
0.102188, 0000
0.114932, 0000
0.101186, 0000
0.116106, 0000
0.101317, 0000
0.102061, 0000
0.102220, 0000
0.101004, 0000
0.106242, 0000
0.102560, 0000
0.118185, 0000
0.101074, 0000
0.111967, 0000
0.100938, 0000
0.111192, 0000
0.102064, 0000
0.115233, 0000
0.100993, 0000
0.114915, 0000
0.103143, 0000
0.116117, 0000
0.102091, 0000
0.112618, 0000
0.101669, 0000
0.118936, 0000
0.102119, 0000
0.115918, 0000
0.102030, 0000
0.118031, 0000
0.101719, 0000
0.118042, 0000
0.101922, 0000
0.111176, 0000
0.102078, 0000
0.118942, 0000
0.103012, 0000
0.115153, 0000
0.102058, 0000
0.112876, 0000
0.111011, 0000
0.111010, 0000
0.103287, 0000
0.100865, 0000
0.102240, 0000
0.102173, 0000
0.101971, 0000
0.102013, 0000
0.102317, 0000
0.102324, 0000
0.102313, 0000
0.101194, 0000
0.102019, 0000
0.101938, 0000
0.101003, 0000
0.101141, 0000
0.101992, 0000
0.101839, 0000
0.101103, 0000
0.102165, 0000
0.101155, 0000
0.101749, 0000
0.101076, 0000
0.100143, 0000
0.101170, 0000
0.102067, 0000
0.100079, 0000
0.101061, 0000
0.102812, 0000
0.102098, 0000
0.102183, 0000
0.100880, 0000
0.101733, 0000
0.101166, 0000
0.100898, 0000
0.102083, 0000
0.101935, 0000
0.102090, 0000
0.101121, 0000
0.100694, 0000
0.101267, 0000
0.101119, 0000
0.103174, 0000
0.101126, 0000
0.100998, 0000
0.101112, 0000
0.101171, 0000
0.102192, 0000
0.102148, 0000
0.102207, 0000
0.102157, 0000
0.101204, 0000
0.102092, 0000
0.100160, 0000
0.101237, 0000
0.101969, 0000
0.101992, 0000
0.101273, 0000
0.101987, 0000
0.101175, 0000
0.101103, 0000
0.101537, 0000
0.100098, 0000
0.102198, 0000
0.101982, 0000
0.101131, 0000
0.101522, 0000
0.100933, 0000
0.101153, 0000
0.101978, 0000
0.100216, 0000
0.102061, 0000
0.101187, 0000
0.101882, 0000
0.101028, 0000
0.101163, 0000
0.100888, 0000
0.102218, 0000
0.103006, 0000
0.101767, 0000
0.100955, 0000
0.101029, 0000
