id;n;e;p;q;d;t
25;C065C01AE4784B741BE757E664805CB149C128783193507EEBF51EE09F9812ECE4F091959E568905715BDFAC3B4F8B297F0EBD65217AD203ECD4270E1A4F6C2667B259A7B9476CAC6457353B15031A998EC7547C7187E69AD85867A5BF72EECD405C39E7CAD975143F50C8977C3DB94FD4FB92B5E685E69C79D955E9850F7223;010001;E736F4AA8BCED15378614D80D4500055FB9F114B7515B49FEB48A77E2F947A42D188482BE380D827D9EEA19159C254167D9E9BC95162994E3F2A9B126209E2E3; ; ;1394
26;D96345677045DB6F53AB8927A85E534BB65DA70A043D9F627FC07F3EF6161CAAFBDF5410CA0513E5A5902E9565D4D1DE142F702983B5FBF1B12687190BF6F77698931B8C8937AC9CEBB8CDFC12A83A276DC786A8A2BC53DB3AF7B03173D01E7D98541A46BA42213A5C0BBB439E580A46EA0AA2A432869B66715D0BD24936E8FD;010001;EF670C34F514B3AC5359E465BC77DDB93CA52C7A7C25F3212294C52C6DF2942EC1ACF00BEB357BFA3BFF1B5B7F3D8198803563F46FE825D3F31C7EC3CA9CAEC3; ; ;835
27;C7FCB7D662AA366B4ADCC815E006BF04A8F84DF92CD3AD431B5A2487007585449D2C0928C5967D3B1658F23969294D97424DDA2D7727BC8FAFA8750D5124E576D9E924FDCF4FCCA419801080B2371D9C9271EC3D055FEB24C9BA3B2A665E269E47569C55313E635081AB3999DD40812045EF071A081181ED16FFD8C1DB04A255;010001;FC5B6691855D1A99C9A18F7976584C9F4AD5DC46C48D1E92C238FC9A1A153BA6DCDDB0CFEE57F2A609B4DD280B2346C0F1422A0D52064CEEA9FC13CBFC4684BB; ; ;1911
28;E96BAD3F83D5CEAC4424C7A461D73DEBF5377E0766E469ED20ABD60AFE62B35997B765D64DFE097B7F28B59BFB1EF032127005BF4CCE0D17B7977E5FD7129E062BB1F3F725CCE99490E8A4E8053210D080707320505418CE4B9A7527A2A8BBA7035690AD71A28B768FC4BFF6533B9DCBACA2A44737B1062C6DB1421D8AC2AB89;010001;FED88BC53AB2260DCB6CBF8710C868FAFEA2E1D8D74A71BB825435DFB2C3C9112289DE26CC707976B8E08B4F7E854C15FD856699D0DD8CD15F4B1C2670AB18F5; ; ;1042
29;C4E3BC177C245E1E9E51BC2B7040AB98DEA62B0935F81D5C3CDD172283D9F59CEA6B92508A184E7FC032F924F92333F1C6C3F17A01E8A63812825933B44BE94A85EA7B5FE2CEA9BB7BCEDBFADC1836479E3F1D37244911104240B9EF4CFD3B67F094EC5BBED80858323A09F3122B60DAA98FE27B0CDFC4F9BE10ADD07393DC5D;010001;E917C413F88B17288C58F2F9939406E1B321C6531130E8DB3EF5092E89E1B42E49BB9674CD4B3629FBF7B7CB5105E3AC29B4EECF39693A99A6924BBAC838CF2B; ; ;256
30;D142D50CE17A8D7457DEBFC0646EFCFE6FC82EAA504CC05661B7608872410DCCF25F6CE516CE12ADBA4E7AF72DD00F7C73EE9FE418EFE179F4DF13E4493B1BAFF371F696F5105C0C2270C6E518191F568AF61232324D9673A27CC6DFF8FA32497B0CA0D982034341599671C5880B6CFF7FC30F7E06051311FF313651AE32C5BD;010001;FEF91DD191213A8671F35837FE0235F8E0E52AFF500842AB7C6473932DBED2D7968A88A71FBDCB5A141275EE40F12DC41BDE3A665031AB777AECC78E30BED811; ; ;338
31;EB4395C8443034C70053795BB17DFFEAA58BCECA82195C74653F7BC3D8FFBDA52B5C301C1B2D6BD9D7374193C4F48A17FB89C6917060E74B0A3503EBEBAF831CD5DA4636969E76447622BD7AFA05F6A84A56CDDA5827589A7654F5C7760965E19E347C9008A2B2FBEA361F9A9BA895650CD13EF35B1D01237F8E6A42ECE45393;010001;F967B7CCB80A1D56EFF99C39CEE02EB1FC381CD66D8125A6626A4729D2D63145913B809171BB67D68B7F6B309E2802E11E2C627B75A71D84F956699E222312AB; ; ;773
32;E141480856612D1F0509DBD0075B78642A2700793859FDC035548316A47C90DB48A33A8F048F77AB2B3CD9304B7A56924AC177426141257F77CB3A384E888103A0E65D0E2B6297C619FB39893BF817E610249BE72835761FCC7877ECF639F8297B291B571B30454F59108CD2A6EBAF9AE7C1A6F06B4B0C79EDAD0D340AEA216D;010001;F7442B84421D460726CAC6E7BCA328246FF93E3BD10E8DEF3C8E49F8AAD0E49724628BCFBDB51BD50F6AE67F9EFD364074445FBDE7216B1495476569A499B429; ; ;1041
33;9A93728D861FDFB9E6B247C42890347A83F1AFFD828A1D3500FA95C20343E99E40E6A3D35B718E78C6509568252CDF6B3FB0D500F1F9235D2F01BA654E8FC39C498377ADFF5DD07AC92E4BE5E8767960E5F76DD1899DF1F1E8AD3A44A7A7749A21B28E8D830BE8C75E52352BE1832E415E6B3B4815F069D903FF3A9579D15D53;010001;CD876896070ABAE12957D9BF71D66A305484069F2EF4AE5A08D0E72FA946544AA3F68F87FEA0C335E6DA2672059C5554EF4AD70EB82378F9E2665B9A9E81464D; ; ;1495
34;F72435D8B0A06897567E8452C1FAC6AB1CCC60ABFEAB2577087338077224E740624B48EBAF9AD9941289F25A9FA5A3C2D450D053B20BE7F0C4EEEEDB57EE0C5D8C2D402F17BF56CACF34250798D5F899037405CA81A6BAC2670B9B4C1C0213827BFA84D5334B14E480C0DB3D3D600142C1C8A4B26A8F5BB593D4CFCD64F68DC9;010001;FC615DA277266A8B6E285CF621C7CC9C82FF5A36866766035AFAA5D45D89DEAE668EDD8A8F549F8C5C4EBF2EE65905CEC347D1B3EA0F6F1589F93335E11442DD; ; ;1661
35;BCCAB16CA2BA367C9575E86AFBA1EEE8E4E68B605A0B073A026B1D9DE058DF66718B6AA5E1C61A2ACBA10F306985B298F99279D6B8BF689198E06B630D30531DEC30E3865B40EC66140C00355618BA91A6424256AE9D384D5E60ECCA9CA7E8E2D54EB2F94B5CEA9B1526010EBB11A0BD4098D427B55DF44E249FF76F684AA925;010001;E4D109F02875B9F8AADF7A2F4DF079FDA8E9B78D38C7F1C05E796AFB7B678C70608049765E5B678131DDFC49204D75E4F0C7A72F2C82C35D2013A759B8CFDA6D; ; ;628
36;BB00F25472FA0B4758D375EE0795B415DF265E63EDDF9EB975D6C86D2067815818BE165699FFCAB59816A31B1C94B891C43854628502F224B600D589B246C413A31B52D7DE8145A4ABC9F4DCC94AE149798AF9072F85F497FFD5A32727179E2C4872FDE2FBE6841768B9EACF73539AE1F92168B268E8390E851AD0F9CCA5DF35;010001;DBF134BA6DB4110855FD9CE4267F9F46CCDA647EB017D4867B7BF30A792653976420CE64F5CBCEE15462092E8645BF39E84EF6098C9DE9F236525C3ED6B75C49; ; ;1374
37;C980466D56BB8BCEA1E73C7A6241D3BABDBFA6E532DD4F1E0CD58CDA3A7F345D7F250B6BE31106362F5BC43906CA454DB8C4F1325F7729D984B2D51295961FBEB837C9A388B0AF5320392F0E6E5741858CE96732AACABC27DA6100291B74A4578AF324B37AFA5FEC706DA0696662EF966A72B692E436D7167F32EB91696915D9;010001;E68BDBB3D864EF1AD3B726466779E3305999D1F116F23C6259CD96144EAAAC51E3705972476CAE8F919301AF7AE03E9FD4290A92D6D769BB299A7FB3AB56BFBB; ; ;1042
38;E8C9CE0F71C4CF5C99650E695C226F18FFA3D3E3422BE219F748578F54FE76C3D859F49154B7FEB78B930C85DDC5F774AF4CAD3A5A4D3D2B6334115EDB39D91643E696DF269550F9661708DB89FC4CB8F3D5DBF7D6EC22AB1A67D7BAB51C602F2429D54FD0436174B07BAE8F0AE62A264942B84BD180E372E1FB697E7B0A9565;010001;F801C2DB60231CFFE0BFE9E1E834CC0606A1026BD421FC8722DB99077302FBA936B7BA2853B85536CF9CF27299A17ED1C804D650D67DD94033BC22B2D3CC0F0B; ; ;854
39;BDBD414CD3717043D5C40E3D132AEC2AB4A6FE83CC5E3BE3D27F4E960828144A5140408D89CC191655D294DFA6AE306B8790E3470CBEFF5EB597B63CC9E570468638EB0F4FC83A332C843A7C2524C532CBEB9D00A4E78CB15DE9DC619F5AB02253A448490B9982858778D81BBEAA2D4385AD7364A5A94B792BAE175983192915;010001;EA04D396D030B424623F5D911CA2C4E689268D30BF9DFDD1D39BDE2C2461C6649888E34DA30184A5ABCADCB6BB040C03C48FF2F0FBB9049868D0F5D52447A3BF; ; ;855
40;9B7AED2EF8FAB5A2A209C865A372396FE6463DB5148F269D954D5671F25C03F4DE7A45287F4BFF8F18FBD7684427C5BA3DB97E36A1CA9C75982EE3A1956886E7B4DB180FB182816EA28418B8872E45D1CEEF9EA2050AEBFF3F0AAC701EED96FB2A49ABD232347DABA52F61C53155ECAAD0B3ED9CB6DDE4E0C621DFE933AD158B;010001;CD5CAB6D7C8AE5069A72271B04A6ABACE65821E86BC1894C8E6CC718BFCF35C3523A3982B9403238CEC040F3E775E8A8B4D7073DD1A0B917FF8452E64A408909; ; ;440
41;AAEA4E697DCE70A8736DFC8AD8EC07370E12C6BF55511999A7FFD72EF3C4AE8D8F47B4A667AB5C7899F45DB67011755944D8A1AF05E4EECD8DE14BE8C44C9937E96EC1AEFD8D7471DD960E333EA00EAC7E87A38EFDE26AD1473B43520BE7006D7AC5AE9FFE81E3131A7A039CD3E105E6E9888F2061AB1BE6FB55483F8A9756D9;010001;DA2550A338B52DB3301C5AAC95C86A8D3E946BCB591B7E8C03AC584071EB9124C75A5A4F6D9944846F99BACCC9B0FEB2DF5B704174D288A7F78F114C966A34BB; ; ;1188
42;BFE62A44B1C849A4C5704636E392DBF18ABA381C8196EE896E422930B6F047D45586985DF88D83A43837CBA5BCF5655FAFBC31378D4117478498526827C2145162A3FE8AC7DD4DCBCDD8F8CF9D1A56DD85E8838686294373062F2CDBEE004879B9A5ADC7B7B06EB6106361FF8DE3139C42FAF4D471093C43526A07970132101B;010001;FB69EC67AEDE06E01E76EFB6E6B98EBF1041BAEA0A39A32C589387188E97AF6A9C6C49B85C828F29A6DFCF263707CA850BB20B95D4FED9EBCE44996F9B3B65E3; ; ;2943
43;BEE2461BBD5444A8C7F1FF2A8A4737A47E9291348A65C6ACACD57168FC3BDAB54531D4E7A7D934B5DCE7C2961887F16EDA4B4872D8FBB12C48C39C792BD5965FE071AFD5562559E76B9C16CA163D7B06020EB5C49B7DCBB0BD02A5B3E0283249EB6C43C249A4645C355DB7CEF677A1496AE3632D298C39EFCA5AF28F17CD8947;010001;E3DDCB651A8F26B3E89E9450BC74A8610D71D13D815124515BD8755C4DE89B60A31E12EE611106B4DEBB029D232E56E05667C77BABE2A5D1C38DE37A66CC916B; ; ;833
44;D10706B30A2E316F671AC7B026E3106739E60286A1E603717B2F2FD9730E90959625C66CCE09C06A44F507FECB4C120E9D592C823CCF74F939E4B04B25C6F98C067EAD801509680E22CDDC4E2E1C20A7C10805AC453354E9E49F9E90A85C3AB7724683175A6FC0F40F14640816A6F3AE4570EB83875BEA93ABFB5D179D03FB7D;010001;E847940AAD46B42D264AB1C406FBD6D8732655CCBD11005CE620FD819AFDE83E1DD38CC7B527268E3E916B2937A253AACF9C77869FBA97801C9AA16677A65913; ; ;936
45;C2171A3A94FFBEC41B5E00F0095F19E77451E7D2F17108184F8C649E7E5590F2A2F6D724C3BA947A996677FB04E332AFD9BD35894E2EB3B0061BA31E1D45A5895DC80536EAC4A288F2B6E14BB027C1ACEBE34BB3924A36F6724753E382D737606B61283AEE8AF035279796F461C8B5371284C85BB114630D4DBA999E6B0CF029;010001;F9AE84176108E9994E9339094E929F461F98221AEBC2C876C8828D3D713502C78CDE6C84C2BAA350411812C421145D214E2C48102A7E74B1F0E69B21A756B839; ; ;1166
46;936E5E44BA34738454C87518A99FE1C786A318F2902538C895ABA5D57348D87723C161740525BA6B08D356463E34567D0B6D27CAACFAC1A1730248D9408D4ADBEBE99EB8A2DA5054D7E225F74F578F8F66AE927247FCC911FE535306E724027F7A2F17DF9CBC98D19C7C8B685F44EB2B2A777A221AA745270BF72A603274658B;010001;C340CE55A540C36D8825B85EE4A2B08E3E423DF1A002855237F4CA5A79425323D84E3994367C864D51FC3270272D59BCE9BD6A3B065D15B32E4B6B1D86ED862D; ; ;461
47;B1BC43486F53883C4B3CD20FAF52D256E4F5A401C02C2BE58C0FD85B259CEEB0A8AC599FB88CF5F93107C7429FE3137D222BA81913B4B72079E9DC8840AFC8AAFFAF77D05705526288FF9BB366ABAAF5F1377766CC6FC1FE061918C2736AD8B9FBD88B7ACE3B3D792D01857FDE8B5204B5C6EFE73AF122596967756CF000A7E7;010001;E1183A50E1DDF045870EC1E583B866F173F0EA66D9C297F1E653F645277937CA3819A5359B78521B121811C22DBEBE4DE05D7AB9289B10487E0F73AC74AE0AE9; ; ;730
48;D2047E9B8D78116CAA46042C3F1DACA8D00132B008957DDD3C9EA021D184C533BC9511F23F14E2B7D093E2FAFF76CBA8F6728D02C0D9FF35365C3E65EAD880B28FB48FE55AA9AFB75F2C9FB1FC96255CE434DC774F0CC7F9DEB5D08901D38C7EF1146331CF7AA847CD4F95F7B2010D38C69629AB616DBC3F265DBC0146350A3F;010001;EDC8AD74DA2D68A86E93E4F1D4080FECA22E5AE5E52EE083BA2CB5F0BFFE85E3E5A6D89B289A89704E00AD0C46E3230FB6874154DCDCB2C4686134BDCC852231; ; ;772
49;B314F5688D1B78347FA18BE26C72CB717227A614F19D3A18D9A33DB04F169DBE5E5861BC9A666DC85FC65F133862E2A17738579D86EFE91339131ADF471395B1000D14FA195A9A05600857C2AB50528E1093A007648B8BA3AF8FE42D9C4B054F8D245603B5020412311A2CE7F34F39AA0BDD94A2E8D995BF929746F334C3BDC3;010001;D76D6548A56FD97283FA643B9067C5DF4790F87DE479CF273D85A3C337A9A31F7D47755B02CC54C771D1B17888E87C66CBDE6D0889553A6AB7D9E3836B6969A1; ; ;650
