id;n;e;p;q;d;t
0;F7E43BF9BDBDF588218CBCF634A0E768B81DF3275EA8937D0D77410539A5E563F0E415997EB33DB1A19B2DF1A37F124BF58A32C9B0DCDC53245A66916B63BEA7F1B9A0B9145F20E6AA85AFA60ED1E6E0B8F1CFD97118DFE793BE063496A4C3EC1A8910A37A3F30DEC395DF2A986C71869E0777567E376E13836C4641D1B0AD71;010001;FEDE51D6FB2B145F1FC85358603AD39C3E019E02558B69165FEA27391DBC7B9B90CCF71899918B29A842FDF78422651AFF85EFCDCC4F0A3CBC1388314E44A11F; ; ;689
1;B837E0AA989FED136738E2DE10A5B0AE8FB5C7FA6458C427C4889F6163301FC28E78ECF94087CCBFE3C1FA77E1A1D995D2C670146A6CBDD4B68CE63A0DB70104585935739CED9ECC5F608461652BF092AD749060707AC100498B5AC4FBE49C0F5294F64A93D48A8CC67685FA425B75DE68238DDB1AD182F9029049BE249C2557;010001;F4F8BB4602B21860B0762172602A85358C6F396EA2E0263E72336399247F1853BADB7B3D66893042CD0A618579A2BAA25B03E2F6C270BCF1E4055E44762BB2D3; ; ;1144
2;B933F34055C0C03A3D6E12B3ED5D9384D8D33ABE85F244E3997A9D150EBB443DF969BF4D1D57325AF640730A9773078C4A20B756B1A349BC921FB7591CE5AB522025CA32B838F1E7F741843CB7412D7CCBD365EBC3EE3A8A49A3163694930E7303FFCF183F316232C09B2A9924A6642979CFA258CF7DCC0159C861D35F9D9C21;010001;EA9B03EA8C54B7A280D059C3469C961B047264E77C742EDF281D677F8744459DA6AC5E152AEF68118114B38796C1ECEB0B5A0CA55794296DE280444552766705; ; ;1060
3;9FDF3B78A501E75E029073CD74736C19FCF03B819F81390F10D925EA7E488DA14DE4CDEA6D01B70E0D0E9CF15758D5F21029EEBE8EA3C1EBF3ECB9CCD7C2C7FEC6E4F9D1248CDA9AC5196D666B89A7722D468DB83BD9F32B3D5A5F159EE3F7C1EA554BC25128B9C90420C8A74EB9BD8D23A631BBDC989EE709DECB7EB5FC0BA7;010001;D0948EF3944D344F76BFF92DF2458FD6A0374C2EFC4AE38EFA5C37C9CA0325479C2C7096C72A6CE48E23595E8DDA237ABB646437D09C81A02D4BB919AAAC26DF; ; ;379
4;B535EEE7446EEDC3C91AB12437526CA03E62AFD9DD78009D562E10357C065EE2B329EB3BF39D3EC5AC7E461F8CAF4EFA7724FFDFF10DA7C8B601BE904DB3C77DE1909E2F26BE6A69468ECED8A2A62A69D7FADE6CAA6EC23C8CE8DE484FF48B3EB7FC0583AF3DFEA11B51DBF446635BD4E4C37939ED8C29A14AFA8120012DAB7B;010001;E67B6E8EAAAB3D1FB175F25C02ECE883C0605C67564F002D4341B8DE79E3ACCC1792A236B8D3DB57CB578972DE106EEB6DB3CA7AC0D341639C9FBC958EABC017; ; ;545
5;B70ED73437A061978DE10619EBF031BC6A668E7B207A3C21711B585E841E81DF02EE240CF864D9ADBC26EF60745EF51CEEBD59980A2F938E4BE5E85C6BEC9BF65AAA24CC225914AF41F2A063206DDF2B3D076BF5D19F9DE175BCE7C628CB031B9EB81AF5A068A0E4B006E3A866E75B4F4155FDE906888A98B5D84CAF7E0CCF61;010001;DB71BD8A0C788F6A35C3E2F6A302CD7E1193681FDFC08256F3569423DB58CB977EBE7AE817AB45EE1CC329B113F65745E9945A96086E354A421701931B727491; ; ;423
6;A48FAC10F06C0E716667F6326B026A1C0789AFA6A025958761D86415AE48B959740DD45560136665822925B1284448CB44F48621E7F6701A9EF99C7CAADB13017F1A87CE6C9593B50E3C7865E0C593CEAC202784C3BCB8E66073D510BB819B0559BEC0B0683F2C21D8F960DDB578FF99BECD934B9C901E5F833469B0AFAD4C95;010001;D3AD9FCA400323BBD14D296D9B49E9C191D75E86325509EC2CD6627C515CBC12D109C470CB95643E8C46499B5673356F0862453FEFE84D09A38286C201E2E15B; ; ;316
7;C1E5DA3AAF3E5C7D8182D629F45792ACC811C0E259EB99A3CAE4A9D0918DA956D3517683A28DAC0AC0CFAC971DF4F9C503CC8B51A5CC82F9C06CF52EEB0170905BBD8501FEE07FC1F7C47D56CAB948CF137DBB95F4CEE14F44680A56D3433E3D3741E66AC27EC7A1C08630D85EF602596FEDCD7EBC1B60259F855596E1ADF991;010001;FD37B3145E4DA86EB74F6754F5C8CFDF94174B28A98167DAA115ABFBBA1695CE59EE2F00467EFF3AEE65789A281645F9EDFE4C3E3CF67A42CE5ECA4AFEAA1419; ; ;1041
8;C847BC4748901DB0155F7C91CE330750E0ABB4AD5511687243FC76D795309C65FEC893613C7EA7877EC813A3F7FE10098F3C7C4E7EBB39941E296C2644549719997F159081255EACDBDB07C27F7E343C5AE33AC2D8EE75F71130EE02A8945471D50A30ED06D6695F37E863C9F42323E8B632BCA03F89888D1D360F2B1DB83E59;010001;E78E44D2995A73BB2D1B8D09767C14BE946983AAAA61D24E8F89697397120574806125FEE086E27300D86B5DD71B3C5909CCF9C25D97DDF4A939CF5FF2D04EAF; ; ;421
9;D3221A0BA3C1A7103EE32945E4625DD78EA06BF34912A8A31B86C0D07109226FE112855F1184ED6DAE320CD97AD7FC8C51F6B5ACEDAD0D13EF7337FCA58C8151C98AF01926F023B406A2A13A5D6DE86FC99C2CA2764F3EB5AA2EA9F1C8172A72879F3761DE31E474D5B137FFCE8D83E05493F9ACA2A4A02AF6880F774FB075C1;010001;FB6FC1C46F529A51FF1A93083044CD9691211319DFC86D7B6B2EA5C1EF57E123B883E7BD54033BF058532448028E83F6966C98E443A9DAAABCEB70F06AE8642D; ; ;607
10;C54C561CAA5ACD49AF9B6605685D510284CE6058ED6A5DD088BE571A52AE57A7B7DC57A1BCF6C0A54097763C2E360FCB66FCEAFE6B46F1C055A43BE36AB34CD1DC1827DDCCA6ED8801A98BF6F03AA1BC335833C0CB2B3B28AE33071AFBE4891723BC1BB6A94A85B6A1B15D5A61CE4B8F2FB2D1D48B4F754316A42EB93F06D9C7;010001;E89D5DEF0A1165E6E628A12ED919FE10F409E0EA3977EAD5FE71C754700CB5E118FBA3B00DB9B7D63C9315DC35CB24F49625A75B56045A10ADB04D60B35F332B; ; ;1165
11;B22B9A628C0418A37EA79D5FD38BF0F1E47B37156EF44D83FB3D55FB98E64E68DD42A271B69A824C2266E0B102CFFDD12B2928742FB324C8D10D90265C70296F0334BDDEA55C9910053E573A3DF84486555E762C0959F7E9018583990015DB853F2D5C060E7EDB88FB6126DCAA8E7F7F8612EDE5430CA0DBE0F054BC6DA24B49;010001;E2F0A7FE6E7E92D306AF8590352C34F673C9CF31557D10D47260CBA7D293B8E2767D1AA3640A218DD119A9B871CC96320C5519252D75F7B34368B0ACC5FC3A6D; ; ;1889
12;B42F585A4969C0BE57EDEC73375179D15412776EDDC8FFC97373FFA1BCE971385F64266DC45A2AF9B125526679866B5BF5A8BF9C7DC5FE4922E723DD59B1702A5C33DAF5E43F2F1A186AC17E1E2F1D5E21AC7E485A52D0D1BB260F5C8BFCDCBC509420D0316A5F3FCE2FF9135D046102C28EECA2AE023ACBF644EB1A52DB1EE5;010001;E0591958226333E6E96232A1BECB22E76D8567620328C7140B400DBB1DB0C1C8EB3670F133172BA3A734B4274D1DB963CF7B43EE782BB9A8229BD02588BF307B; ; ;1476
13;B8BA04F01A2F397AE35E0B72D7FE9DBF0A99AAEBB2FFA4160727F829F6E45007DEE0DB64715FF0118BA3F1EDCC06D40D59A0FD0C6E1639AE22BF0E648A67962BD9E280707AFF92C8D1B8936D1CA480EAAF69A275982D3702349CB58C89D1062351C013C0D1E423A226F070F3EE23654CDB672739C51DDBCB23E6CEBFD577758B;010001;EC3203DC4DF7CEC6ABE22094879AAEB3B2526587DB26197E3193B106DB4C2D4F92BAD2AB3A1FE63A2230666BB65CB05CB3287CF0521339A0DA0F8B8AEE2D0C2F; ; ;1579
14;CB8B4D2866F2201B929B3272DC6666DA219138786F40B41F04839FCB3FA8CA88790C48A9C7ABDAC41FC5CEEC1157BFF305306D6E24BCFC4A17CCFED267322EA7AF336FA9EF20A8924D09E1B052F204E4EB49098F0D1A9B20BD6436C72928861C8742C17240D3F6DA02398BCBC8C7CF193314D239DEA58F4020D5304CD371F3E7;010001;EB842FBA466AA33DC9EA66B7285514BDB159F6CCB84CA2FF2432E536D3B677349FA126D2130C1C5F5B5B068A2F686ACC1A305FF3AE553A3A9190C784154C52DB; ; ;1022
15;B662B47EB932B46EB993DE52F13F87C67E6063BD169D84D26F2D735098B40B2E9821D78253CD0CFB1E1FA6C57EE9B07525EEE6E091C4AC6D4ABB5373B0B52420E4501F15D22981C85096D9C2BC78B1045AE2B820C08A6D13B8439213221A78A7BC32350A8A3DF389D7470F9409F158AE04F40A6409EFB81D59F3EB0F03699859;010001;DC2D09D1CF150474B6E45606CBD4D2AA1844D8A78E1104AA342AA11FC9FBD2AC32418F601BB1A0DBA7B4B8D4AD7C3A2B4AE2541C4F45BACC4C13AB5C59B5353F; ; ;1121
16;CB9991827FAE61CFE89E2C362529ED2C32CB847A347277844171BA164ACD2826318C4220C1D65E04F84CD385634E66030E282AB1A627E21A60E2925B1E7EF339830C14B624CEC5E86C3EA4C8B3158D17582043A9829083D963AE20F0C9F0535265049EB99FFF8FA6FD680CE58D818623D86367B3E8D5B09870795C5D45752423;010001;FF699AB56EBB56138EF0B470FC5F475E347E6B35F0F88005401418B2755918F17E819664C5D6BADF6BE457E3A9D2361F9EE90BF1794E2D8DBDFC7EC3ED8F4E6B; ; ;2551
17;BBCEB683F08A7DE883AD8457893D7991176DD7DDE0A57883621CE5D457FF7945D675D5BAB2BE39877BB2E1157D99BADDED59DD5B7711E413CE7AC10223B6A3992EDE1D816C9499176F08928D53FD4279F9FFD02304FBFA40E44A58573FE8D87A73EA237275BF2042DA294E9E36DBC5C7EF8515D14E1B4A2CADCC8333865F6D6D;010001;DFECD4E9474ECE691FBD557DDF71587A91A1BBA9510A18CC8A861662AAF90153656CF965231BA2C1139ECE1FD9B803163898C13EDE1F7D70BFF79AAA569C8DF1; ; ;1021
18;C68967492D06E908FDB8A09B89101F0244FB63E743F3D87F58FAE59C67154F668C2DA8A810A71682A214CC7841A353D06CD45DA3A61FE845CEF544D0EAB82E65D4B205F581CFD7B9BE25DC5E044011ED4AD7F3ACA97D362AA0CFC5269B03D07F958BED1C27BF32F60678B7EA164452FEC95D5117D127864593158A3797439DC3;010001;F7AA2D4B4C4EFC85049CB59DA17BC562353784495E6E7C2F795CFC10BDFF016C7FE712B98D9B25E0999FEA0215935C9DE16EEDC282C4E415EB87E71051705255; ; ;858
19;B494A49835CF06BCB0335015FB555EE088219C2B778D9FD541C4C5F5EF20435A839E10D68540A99D35463A603F8416C70C71DD7520D96E8FD0F983775D6D3C2D5209B2AFAF64C49F4FA20E1E77B771C324FB3341627CCEB04F439D21720113ACE5992052A03CB033331FCEA04B6E5F7D49C18E3972FF00AF7F0BDAFAAF3060D1;010001;DB9A677C26AE1AB459356EE681D1EC9D8F54E46492E7446A9114BA0F89A55104DAC48FE453D6A016B02E5D25DAB0591768836FC3BAEC6B7C0D43A4547495E99D; ; ;295
20;E96E46C98D7F1F7A8928CFF0A0C374F2934051D16269F37BF5C4630C6A82918BF51FFF65DFAB084B2ECC79882EEA408A44DA69DBAE312B16DCBB5804A5D26F2C4F965F87096CF34DFABAA3BB5A310878919B43C328109253BF69762695022E3686EE1B25C605858B899DD01A7CCB777390222499EF255C36EA477130F58A51D9;010001;F7ECAE20F5E886F12F9B4728C009F992C6F4DF1AB64F00A7DD101C396C655E27241DCC55D68623D337770390A26ADBE01705850C7B260153D98926FFF245AD39; ; ;503
21;C5612502B3320B20F357FD0444237CE550D86B973C695263B10E783DC1CBE769F7E0BAC75282DB9A21B5CD6D19679335C4F4E89B95CB821A2954533B4AAC9944765290C3247BCF612E402EF6425151F7A59C94FE3AD276EE2C5E97C49476F97451160919C63ABBC7A9CCB88A75FBB4AEE644151BF12AF57556C296E1A443D2D7;010001;F7371B58D04FA53644655749A3D984C3C71742EBA7A28AA572E0C49B4621CFFA5BAAC2B8C755B9E311BD3FFA887570019F680EDC20C3A4276F236D437F0EBCB7; ; ;752
22;C9068138102CCD5905CF6590DBDBD3A540F606942FC0E90879BF030EC86EAB328553A852A6F963A4AFEE5B6E10004AFC0A555E32359914F0C7AE15D79E61EF3433548F295BCD9CA9E578F4BA3B8BB30A38666763A06383EEE28216B8689090501687DF2740BA31CC968225814DEE5DE888ED6A377F36D8762D818BE20B78F6B5;010001;E7DDA6D8B1AF850384214BAB4AB94D16C9B10CD61A32AC94036A30395D95E5B94071F4C28D266EF69BAEA6C6F8159BB110794D3CA1A1CDD74C1C2885CE44588D; ; ;420
23;BBF637C9DCD79D69B2B95C8B1488C26772ABC299ECF747827EDB8BFF2954A4D830C31B30A7D4295431978EE9FEEE2E712252A76D72D5CE6121BA177D5A37E1AA8E4E2E7BFD33F0575386C8990F0DC8225F464DF26935EB757FB292B9D6865243956A27FE81BC6E427DCDB2BCF9EFA98620C11C992D611E19C2E29819B514FB17;010001;F16C41F3D6E328ABD005075E83E063F228B99DFD1B1DC5F76546A308467CEADBA86E995A9EF35513784AFC1F5B58B92CFF5B366609734E12A8E3757E2DA2D5E1; ; ;567
24;A0CB896FFBA1D8AA10B2652468363FA4F639EB069995A15C33C600DFF9F52434D124AC4BC6A6E0884AEC1ABC2E8368B7A9C04D5A3D41516A9630E502ED8FE4451EDE2F29815A6F9E01E9A7E724FDD8FFEAF6DE99A300D4F7A3767FB5C07E4830AE402BD271C53679B10CE0BDB22D1C390674B89A7EDC5FADEB937146B48772FF;010001;D1463CAFD04069AEA8ED2A2DEB8C6086C9C1109269067A3E9B392E1188D292001C09AF03FD77E3C4F5788765FBFE1A27651599C062FFFC16A1B6526EB3A2B739; ; ;275
