INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2021/03/06 12:51:50
AlgTestJClient version; 1.8.0
AlgTest applet version; 1.8.0_jc304
Used reader; ACS ACR122U PICC Interface 0
Card ATR; 3b 80 80 01 01
Card name; NXP JCOP3 J3H145 RSA4096
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;3.0.4;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;103080B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2630B;
JCSystem.getMaxCommitCapacity();32767B;
APDU.getInBlockSize();254B;
APDU.getOutBlockSize();60B;
APDU.getProtocol();-127B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 47 90 05 03 82 11 63 51 03 02 83 59 01 79 36 07 46 73 4e 30 50 38 35 32 42 46 4a 31 30 31 37 39 33 36 06 00 01 23 b1 cd d9 97
CPLC.ICFabricator;4790;NXP
CPLC.ICType;0503
CPLC.OperatingSystemID;8211
CPLC.OperatingSystemReleaseDate;6351
CPLC.OperatingSystemReleaseLevel;0302
CPLC.ICFabricationDate;8359;(Y DDD) date in that year
CPLC.ICSerialNumber;01793607
CPLC.ICBatchIdentifier;4673
CPLC.ICModuleFabricator;4e30
CPLC.ICModulePackagingDate;5038
CPLC.ICCManufacturer;3532
CPLC.ICEmbeddingDate;4246
CPLC.ICPrePersonalizer;4a31
CPLC.ICPrePersonalizationEquipmentDate;3031
CPLC.ICPrePersonalizationEquipmentID;37393336
CPLC.ICPersonalizer;0600
CPLC.ICPersonalizationDate;0123
CPLC.ICPersonalizationEquipmentID;b1cdd997
CPLC.ICPersonalizationEquipmentID;b1cdd997

algorithm_name; is_supported; time_elapsed; persistent_mem_allocated; ram_deselect_allocated; ram_reset_allocated;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;		0.178000;88;27;27
ALG_DES_CBC_ISO9797_M1;yes;		0.183000;88;27;27
ALG_DES_CBC_ISO9797_M2;yes;		0.181000;88;27;27
ALG_DES_CBC_PKCS5;no;		0.083000;16;0;0
ALG_DES_ECB_NOPAD;yes;		0.182000;88;27;27
ALG_DES_ECB_ISO9797_M1;yes;		0.177000;88;27;27
ALG_DES_ECB_ISO9797_M2;yes;		0.180000;88;27;27
ALG_DES_ECB_PKCS5;no;		0.083000;16;0;0
ALG_RSA_ISO14888;no;		0.084000;16;0;0
ALG_RSA_PKCS1;yes;		0.127000;56;1;1
ALG_RSA_ISO9796;no;		0.084000;16;0;0
ALG_RSA_NOPAD;yes;		0.130000;56;1;1
ALG_AES_BLOCK_128_CBC_NOPAD;yes;		0.182000;88;51;51
ALG_AES_BLOCK_128_ECB_NOPAD;yes;		0.179000;88;51;51
ALG_RSA_PKCS1_OAEP;yes;		0.129000;56;1;1
ALG_KOREAN_SEED_ECB_NOPAD;no;		0.082000;16;0;0
ALG_KOREAN_SEED_CBC_NOPAD;no;		0.083000;16;0;0
ALG_AES_BLOCK_192_CBC_NOPAD;no;		0.083000;16;0;0
ALG_AES_BLOCK_192_ECB_NOPAD;no;		0.082000;16;0;0
ALG_AES_BLOCK_256_CBC_NOPAD;no;		0.081000;16;0;0
ALG_AES_BLOCK_256_ECB_NOPAD;no;		0.081000;16;0;0
ALG_AES_CBC_ISO9797_M1;yes;		0.180000;88;51;51
ALG_AES_CBC_ISO9797_M2;yes;		0.182000;88;51;51
ALG_AES_CBC_PKCS5;no;		0.081000;16;0;0
ALG_AES_ECB_ISO9797_M1;yes;		0.179000;88;51;51
ALG_AES_ECB_ISO9797_M2;yes;		0.176000;88;51;51
ALG_AES_ECB_PKCS5;no;		0.083000;16;0;0
ALG_AES_CFB;no;		0.083000;16;0;0
ALG_AES_XTS;no;		0.082000;16;0;0
ALG_AES_CTR;no;		0.083000;16;0;0
CIPHER_AES_CCM;no;		0.083000;16;0;0
CIPHER_AES_GCM;no;		0.082000;16;0;0

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;		0.085000;20;0;0
ALG_DES_MAC8_NOPAD;yes;		0.180000;92;19;19
ALG_DES_MAC4_ISO9797_M1;no;		0.084000;20;0;0
ALG_DES_MAC8_ISO9797_M1;yes;		0.184000;92;19;19
ALG_DES_MAC4_ISO9797_M2;yes;		0.191000;92;19;19
ALG_DES_MAC8_ISO9797_M2;yes;		0.178000;92;19;19
ALG_DES_MAC4_PKCS5;no;		0.081000;20;0;0
ALG_DES_MAC8_PKCS5;no;		0.081000;20;0;0
