INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2018/12/07 11:56:20
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; 
Card ATR; 3B FA 18 00 00 81 31 FE 45 4A 43 4F 50 33 31 56 32 33 32 98 (provided_by_Licel_jCardSim)
Card name; jCardSim-3.0.4-SNAPSHOT
Card provider; please insert link/description of shop where card was bought
Used protocol; 
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no


JavaCard support version;3.0.4

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;no;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;-31641B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;32767B;
JCSystem.getMaxCommitCapacity();32767B;
CPLC; failed to obtain CPLC
javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.000000
ALG_DES_CBC_ISO9797_M1;yes;0.000000
ALG_DES_CBC_ISO9797_M2;yes;0.000000
ALG_DES_CBC_PKCS5;yes;0.000000
ALG_DES_ECB_NOPAD;yes;0.002000
ALG_DES_ECB_ISO9797_M1;yes;0.004000
ALG_DES_ECB_ISO9797_M2;yes;0.015000
ALG_DES_ECB_PKCS5;yes;0.002000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.017000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.002000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.002000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.019000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.029000
ALG_DES_MAC8_NOPAD;yes;0.001000
ALG_DES_MAC4_ISO9797_M1;yes;0.001000
ALG_DES_MAC8_ISO9797_M1;yes;0.019000
ALG_DES_MAC4_ISO9797_M2;yes;0.001000
ALG_DES_MAC8_ISO9797_M2;yes;0.000000
ALG_DES_MAC4_PKCS5;yes;0.000000
ALG_DES_MAC8_PKCS5;yes;0.000000
ALG_RSA_SHA_ISO9796;yes;0.031000
ALG_RSA_SHA_PKCS1;yes;0.016000
ALG_RSA_MD5_PKCS1;yes;0.000000
