INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Satochip.io (https://github.com/Toporin);
Execution date/time; 2019/02/12 21:36:11
AlgTestJClient version; 1.7.6
AlgTest applet version; 1.7.6
Used reader; Feitian SCR301 0
Card ATR; 3b f9 13 00 00 81 31 fe 45 4a 43 4f 50 76 32 34 31 b7 01
Card name; NXP-JCOP-J2A080
Card provider;  https://secure.smartcardsource.com/J2A080M-java-smart-card.html?category_id=10
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;2.2.2;

JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1944B;
JCSystem.getMaxCommitCapacity();512B;
JCSystem.getMaxCommitCapacity();512B;

CPLC; 9f 7f 2a 47 90 50 38 47 91 00 78 33 00 81 81 01 41 29 99 07 63 48 12 81 88 00 00 00 00 04 0e 35 31 34 31 32 39 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5038
CPLC.OperatingSystemID;4791
CPLC.OperatingSystemReleaseDate;0078
CPLC.OperatingSystemReleaseLevel;3300
CPLC.ICFabricationDate;8181;(Y DDD) date in that year
CPLC.ICSerialNumber;01412999
CPLC.ICBatchIdentifier;0763
CPLC.ICModuleFabricator;4812
CPLC.ICModulePackagingDate;8188
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;040e
CPLC.ICPrePersonalizationEquipmentDate;3531
CPLC.ICPrePersonalizationEquipmentID;34313239
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.102000
ALG_DES_CBC_ISO9797_M1;yes;0.097000
ALG_DES_CBC_ISO9797_M2;yes;0.098000
ALG_DES_CBC_PKCS5;yes;0.096000
ALG_DES_ECB_NOPAD;yes;0.097000
ALG_DES_ECB_ISO9797_M1;yes;0.090000
ALG_DES_ECB_ISO9797_M2;yes;0.092000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.114000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.122000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.104000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.098000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;yes;0.107000
ALG_KOREAN_SEED_CBC_NOPAD;yes;0.106000
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0.131000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0.097000
ALG_DES_MAC4_ISO9797_M2;no;
ALG_DES_MAC8_ISO9797_M2;yes;0.097000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0.119000
ALG_RSA_SHA_PKCS1;yes;0.106000
ALG_RSA_MD5_PKCS1;yes;0.104000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.105000
ALG_AES_MAC_128_NOPAD;yes;0.105000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.098000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;yes;0.113000
ALG_ECDSA_SHA_256;no;
