INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2020/10/28 10:27:14
AlgTestJClient version; 1.7.9
AlgTest applet version; 1.7.10
Used reader; Alcor Micro USB Smart Card Reader 0
Card ATR; 3b d5 18 ff 81 91 fe 1f c3 80 73 c8 21 10 0a
Card name; NXP JCOP4 J3R180 SecID Feitian
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

Package_AID_test; NXP_JCOP4_J3R180_Feitian_AIDSUPPORT_3BD518FF8191FE1FC38073C821100A.csv

JavaCard support version;3.0.5;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;3208B;
JCSystem.getMaxCommitCapacity();5120B;
APDU.getInBlockSize();254B;
APDU.getOutBlockSize();254B;
APDU.getProtocol();1B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 47 90 d3 21 47 00 00 00 00 00 01 36 27 63 43 99 53 82 00 00 00 00 00 00 00 00 0c 21 6c 37 36 33 34 33 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;d321
CPLC.OperatingSystemID;4700
CPLC.OperatingSystemReleaseDate;0000
CPLC.OperatingSystemReleaseLevel;0000
CPLC.ICFabricationDate;0136;(Y DDD) date in that year
CPLC.ICSerialNumber;27634399
CPLC.ICBatchIdentifier;5382
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;0c21
CPLC.ICPrePersonalizationEquipmentDate;6c37
CPLC.ICPrePersonalizationEquipmentID;36333433
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.048000
ALG_DES_CBC_ISO9797_M1;yes;0.046000
ALG_DES_CBC_ISO9797_M2;yes;0.041000
ALG_DES_CBC_PKCS5;yes;0.045000
ALG_DES_ECB_NOPAD;yes;0.047000
ALG_DES_ECB_ISO9797_M1;yes;0.040000
ALG_DES_ECB_ISO9797_M2;yes;0.046000
ALG_DES_ECB_PKCS5;yes;0.045000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.033000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.028000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.045000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.047000
ALG_RSA_PKCS1_OAEP;yes;0.032000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.045000
ALG_AES_CBC_ISO9797_M2;yes;0.045000
ALG_AES_CBC_PKCS5;yes;0.045000
ALG_AES_ECB_ISO9797_M1;yes;0.045000
ALG_AES_ECB_ISO9797_M2;yes;0.046000
ALG_AES_ECB_PKCS5;yes;0.046000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0.041000
ALG_DES_MAC4_ISO9797_M1;yes;0.049000
ALG_DES_MAC8_ISO9797_M1;yes;0.045000
ALG_DES_MAC4_ISO9797_M2;yes;0.046000
ALG_DES_MAC8_ISO9797_M2;yes;0.040000
ALG_DES_MAC4_PKCS5;yes;0.041000
ALG_DES_MAC8_PKCS5;yes;0.041000
ALG_RSA_SHA_ISO9796;yes;0.067000
ALG_RSA_SHA_PKCS1;yes;0.054000
ALG_RSA_MD5_PKCS1;no;
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.050000
ALG_AES_MAC_128_NOPAD;yes;0.042000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.045000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.042000
ALG_RSA_SHA_PKCS1_PSS;yes;0.066000
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;yes;0.061000
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.058000
ALG_ECDSA_SHA_384;yes;0.055000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.056000
ALG_ECDSA_SHA_512;yes;0.051000
ALG_RSA_SHA_224_PKCS1;yes;0.059000
ALG_RSA_SHA_256_PKCS1;yes;0.059000
ALG_RSA_SHA_384_PKCS1;yes;0.060000
ALG_RSA_SHA_512_PKCS1;yes;0.050000
ALG_RSA_SHA_224_PKCS1_PSS;yes;0.066000
ALG_RSA_SHA_256_PKCS1_PSS;yes;0.067000
ALG_RSA_SHA_384_PKCS1_PSS;yes;0.062000
ALG_RSA_SHA_512_PKCS1_PSS;yes;0.066000
ALG_DES_MAC4_ISO9797_1_M1_ALG3;yes;0.045000
ALG_DES_MAC8_ISO9797_1_M1_ALG3;yes;0.052000
ALG_AES_CMAC_128;yes;0.043000

javacard.security.MessageDigest
ALG_SHA;yes;0.040000
ALG_MD5;no;
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0.046000
ALG_SHA_384;yes;0.044000
ALG_SHA_512;yes;0.041000
ALG_SHA_224;yes;0.040000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.026000
ALG_SECURE_RANDOM;yes;0.030000
