INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; PetrS;
Execution date/time; 2019/04/19 19:07:32
AlgTestJClient version; 1.7.7
AlgTest applet version; 1.7.7
Used reader; Generic EMV Smartcard Reader 0
Card ATR; 3b 9f 95 80 3f c7 a0 80 31 e0 73 fa 21 10 63 00 00 00 83 f0 90 00 bb
Card name; Taisys SIMoME VAULT
Card provider; http://www.taisys.com/p-detail?id=d344Kxow_I2Ch0TCptZlVb4_qTNwdXQaQsrXe7l8LA
Used protocol; T=0
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); yes
Package_AID_test; Taisys_SIMoME_VAULT_AIDSUPPORT_3B9F95803FC7A08031E073FA21106300000083F09000BB.csv

JavaCard support version;3.0.4;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;12252B;
JCSystem.getMaxCommitCapacity();16128B;
JCSystem.getMaxCommitCapacity();16128B;


CPLC; 9f 7f 2a ff ff ff ff ff ff ff ff ff ff 61 94 0a 7d 21 88 66 5d ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
CPLC.ICFabricator;ffff;unknown
CPLC.ICType;ffff
CPLC.OperatingSystemID;ffff
CPLC.OperatingSystemReleaseDate;ffff
CPLC.OperatingSystemReleaseLevel;ffff
CPLC.ICFabricationDate;6194;(Y DDD) date in that year
CPLC.ICSerialNumber;0a7d2188
CPLC.ICBatchIdentifier;665d
CPLC.ICModuleFabricator;ffff
CPLC.ICModulePackagingDate;ffff
CPLC.ICCManufacturer;ffff
CPLC.ICEmbeddingDate;ffff
CPLC.ICPrePersonalizer;ffff
CPLC.ICPrePersonalizationEquipmentDate;ffff
CPLC.ICPrePersonalizationEquipmentID;ffffffff
CPLC.ICPersonalizer;ffff
CPLC.ICPersonalizationDate;ffff
CPLC.ICPersonalizationEquipmentID;ffffffff
CPLC.ICPersonalizationEquipmentID;ffffffff

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.142000
