INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
ALG_DES_CBC_ISO9797_M1;yes;0.141000
ALG_DES_CBC_ISO9797_M2;yes;0.142000
ALG_DES_CBC_PKCS5;yes;0.140000
ALG_DES_ECB_NOPAD;yes;0.138000
ALG_DES_ECB_ISO9797_M1;yes;0.142000
ALG_DES_ECB_ISO9797_M2;yes;0.147000
ALG_DES_ECB_PKCS5;yes;0.143000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.141000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.148000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.147000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.142000
ALG_RSA_PKCS1_OAEP;yes;0.143000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.140000
ALG_AES_CBC_ISO9797_M2;yes;0.139000
ALG_AES_CBC_PKCS5;yes;0.140000
ALG_AES_ECB_ISO9797_M1;yes;0.145000
ALG_AES_ECB_ISO9797_M2;yes;0.140000
ALG_AES_ECB_PKCS5;yes;0.139000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.145000
ALG_DES_MAC8_NOPAD;yes;0.160000
ALG_DES_MAC4_ISO9797_M1;yes;0.142000
ALG_DES_MAC8_ISO9797_M1;yes;0.161000
ALG_DES_MAC4_ISO9797_M2;yes;0.156000
ALG_DES_MAC8_ISO9797_M2;yes;0.164000
ALG_DES_MAC4_PKCS5;yes;0.147000
ALG_DES_MAC8_PKCS5;yes;0.162000
ALG_RSA_SHA_ISO9796;yes;0.153000
ALG_RSA_SHA_PKCS1;yes;0.167000
ALG_RSA_MD5_PKCS1;yes;0.142000
ALG_RSA_RIPEMD160_ISO9796;yes;0.160000
ALG_RSA_RIPEMD160_PKCS1;yes;0.145000
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;yes;0.162000
ALG_RSA_MD5_RFC2409;yes;0.148000
ALG_ECDSA_SHA;yes;0.170000
ALG_AES_MAC_128_NOPAD;yes;0.151000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.163000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.143000
ALG_RSA_SHA_PKCS1_PSS;yes;0.166000
ALG_RSA_MD5_PKCS1_PSS;yes;0.144000
ALG_RSA_RIPEMD160_PKCS1_PSS;yes;0.161000
ALG_HMAC_SHA1;yes;0.148000
ALG_HMAC_SHA_256;yes;0.162000
ALG_HMAC_SHA_384;yes;0.144000
ALG_HMAC_SHA_512;yes;0.161000
ALG_HMAC_MD5;yes;0.146000
ALG_HMAC_RIPEMD160;yes;0.158000
ALG_RSA_SHA_ISO9796_MR;yes;0.147000
ALG_RSA_RIPEMD160_ISO9796_MR;yes;0.161000
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.143000
ALG_ECDSA_SHA_384;yes;0.164000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.142000
ALG_ECDSA_SHA_512;yes;0.159000
ALG_RSA_SHA_224_PKCS1;yes;0.150000
ALG_RSA_SHA_256_PKCS1;yes;0.169000
ALG_RSA_SHA_384_PKCS1;yes;0.155000
ALG_RSA_SHA_512_PKCS1;yes;0.162000
ALG_RSA_SHA_224_PKCS1_PSS;yes;0.148000
ALG_RSA_SHA_256_PKCS1_PSS;yes;0.162000
ALG_RSA_SHA_384_PKCS1_PSS;yes;0.145000
ALG_RSA_SHA_512_PKCS1_PSS;yes;0.160000
ALG_DES_MAC4_ISO9797_1_M1_ALG3;yes;0.152000
ALG_DES_MAC8_ISO9797_1_M1_ALG3;yes;0.162000
ALG_AES_CMAC_128;no;

javacard.security.MessageDigest
ALG_SHA;yes;0.152000
ALG_MD5;yes;0.172000
ALG_RIPEMD160;yes;0.140000
ALG_SHA_256;yes;0.170000
ALG_SHA_384;yes;0.147000
ALG_SHA_512;yes;0.165000
ALG_SHA_224;yes;0.144000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.087000
ALG_SECURE_RANDOM;yes;0.087000
ALG_TRNG;no;
ALG_ALG_PRESEEDED_DRBG;no;
ALG_FAST;no;
ALG_KEYGENERATION;no;

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0.166000
TYPE_DES_TRANSIENT_DESELECT;yes;0.139000
TYPE_DES LENGTH_DES;yes;0.209000
TYPE_DES LENGTH_DES3_2KEY;yes;0.188000
TYPE_DES LENGTH_DES3_3KEY;yes;0.201000
TYPE_AES_TRANSIENT_RESET;yes;0.139000
TYPE_AES_TRANSIENT_DESELECT;yes;0.155000
TYPE_AES LENGTH_AES_128;yes;0.188000
TYPE_AES LENGTH_AES_192;yes;0.213000
TYPE_AES LENGTH_AES_256;yes;0.178000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0.200000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0.199000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0.227000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0.183000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0.212000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0.223000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0.202000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0.206000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0.240000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;yes;0.198000
TYPE_RSA_PUBLIC LENGTH_RSA_4096;yes;0.227000
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0.214000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0.223000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0.200000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0.211000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0.186000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0.215000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0.184000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0.224000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0.191000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;yes;0.207000
TYPE_RSA_PRIVATE LENGTH_RSA_4096;yes;0.195000
TYPE_RSA_PRIVATE_TRANSIENT_RESET;yes;0.159000
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;yes;0.137000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0.201000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0.194000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0.198000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0.184000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;0.202000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;0.197000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;0.207000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;0.185000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;0.221000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;yes;0.197000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;yes;0.215000
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;yes;0.134000
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;6f00;
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;yes;0.615000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;yes;0.610000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;0.623000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;0.635000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;0.595000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;0.619000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_320;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;0.602000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_512;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;yes;0.624000
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;yes;0.337000
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;6f00;
TYPE_KOREAN_SEED_TRANSIENT_RESET;no;
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;no;
TYPE_HMAC_TRANSIENT_RESET;yes;0.126000
TYPE_HMAC_TRANSIENT_DESELECT;6f00;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;yes;0.178000
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;yes;0.207000
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;yes;0.193000
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;yes;0.209000

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;0.084000
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;yes;0.103000
ALG_EC_SVDP_DH_PLAIN;yes;0.087000
ALG_EC_SVDP_DHC_PLAIN;yes;0.094000
ALG_EC_PACE_GM;no;
ALG_EC_SVDP_DH_PLAIN_XY;no;
ALG_DH_PLAIN;no;

javacard.security.Checksum
ALG_ISO3309_CRC16;yes;0.134000
ALG_ISO3309_CRC32;yes;0.136000

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;0.760000
ALG_RSA LENGTH_RSA_736;yes;1.829000
ALG_RSA LENGTH_RSA_768;yes;1.070000
ALG_RSA LENGTH_RSA_896;yes;1.788000
ALG_RSA LENGTH_RSA_1024;yes;3.220000
ALG_RSA LENGTH_RSA_1280;yes;5.108000
ALG_RSA LENGTH_RSA_1536;yes;5.312000
ALG_RSA LENGTH_RSA_1984;yes;7.963000
ALG_RSA LENGTH_RSA_2048;yes;4.956000
ALG_RSA LENGTH_RSA_3072;yes;452.097000
ALG_RSA LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;1.502000
ALG_RSA_CRT LENGTH_RSA_736;yes;1.657000
ALG_RSA_CRT LENGTH_RSA_768;yes;1.642000
ALG_RSA_CRT LENGTH_RSA_896;yes;2.877000
ALG_RSA_CRT LENGTH_RSA_1024;yes;2.300000
ALG_RSA_CRT LENGTH_RSA_1280;yes;4.058000
ALG_RSA_CRT LENGTH_RSA_1536;yes;4.453000
ALG_RSA_CRT LENGTH_RSA_1984;yes;8.827000
ALG_RSA_CRT LENGTH_RSA_2048;yes;5.362000
ALG_RSA_CRT LENGTH_RSA_3072;yes;346.843000
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;no;
ALG_DSA LENGTH_DSA_768;no;
ALG_DSA LENGTH_DSA_1024;no;

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;yes;2.509000
ALG_EC_FP LENGTH_EC_FP_128;yes;3.468000
ALG_EC_FP LENGTH_EC_FP_160;yes;3.686000
ALG_EC_FP LENGTH_EC_FP_192;yes;4.172000
ALG_EC_FP LENGTH_EC_FP_224;yes;3.752000
ALG_EC_FP LENGTH_EC_FP_256;yes;3.849000
ALG_EC_FP LENGTH_EC_FP_384;yes;3.921000
ALG_EC_FP LENGTH_EC_FP_521;yes;5.028000

javacardx.crypto.AEADCipher
CIPHER_AES_CCM;no;
CIPHER_AES_GCM;no;


Total test time:; 954 seconds.
