INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2020/05/17 04:07:59
AlgTestJClient version; 1.7.9
AlgTest applet version; 1.7.9
Used reader; ACS ACR39U ICC Reader 0
Card ATR; 3b 94 95 81 01 46 54 56 01 c4
Card name; j3h145...C4
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;3.0.4;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2628B;
JCSystem.getMaxCommitCapacity();32767B;
APDU.getInBlockSize();254B;
APDU.getOutBlockSize();247B;
APDU.getProtocol();1B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 47 90 05 03 82 11 63 51 03 02 83 59 01 21 94 07 46 73 4e 30 50 38 35 32 42 46 4a 31 30 31 32 31 39 34 06 00 01 23 b1 10 3a 4f
CPLC.ICFabricator;4790;NXP
CPLC.ICType;0503
CPLC.OperatingSystemID;8211
CPLC.OperatingSystemReleaseDate;6351
CPLC.OperatingSystemReleaseLevel;0302
CPLC.ICFabricationDate;8359;(Y DDD) date in that year
CPLC.ICSerialNumber;01219407
CPLC.ICBatchIdentifier;4673
CPLC.ICModuleFabricator;4e30
CPLC.ICModulePackagingDate;5038
CPLC.ICCManufacturer;3532
CPLC.ICEmbeddingDate;4246
CPLC.ICPrePersonalizer;4a31
CPLC.ICPrePersonalizationEquipmentDate;3031
CPLC.ICPrePersonalizationEquipmentID;32313934
CPLC.ICPersonalizer;0600
CPLC.ICPersonalizationDate;0123
CPLC.ICPersonalizationEquipmentID;b1103a4f
CPLC.ICPersonalizationEquipmentID;b1103a4f

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,104000
ALG_DES_CBC_ISO9797_M1;yes;0,102000
ALG_DES_CBC_ISO9797_M2;yes;0,102000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0,099000
ALG_DES_ECB_ISO9797_M1;yes;0,099000
ALG_DES_ECB_ISO9797_M2;yes;0,100000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0,056000
ALG_RSA_ISO9796;no;
