INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Thotheolh Tay.;
Execution date/time; 2021/03/01 15:17:43
AlgTestJClient version; 1.7.9
AlgTest applet version; 1.7.9
Used reader; ExcelSecu Contact_Rd 0
Card ATR; 3b b8 97 00 c0 08 31 fe 45 ff ff 13 57 30 50 23 00 6a
Card name; Infineon SECORA ID S (SCP02 with RSA2k JC305 GP230, NOT FOR SALE - PROTOTYPE ONLY)
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;3.0.5;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;4199B;
JCSystem.getMaxCommitCapacity();4096B;
APDU.getInBlockSize();254B;
APDU.getOutBlockSize();254B;
APDU.getProtocol();1B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 40 90 19 15 40 90 00 45 01 00 83 01 a8 18 59 28 a8 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4090;Infineon
CPLC.ICType;1915
CPLC.OperatingSystemID;4090
CPLC.OperatingSystemReleaseDate;0045
CPLC.OperatingSystemReleaseLevel;0100
CPLC.ICFabricationDate;8301;(Y DDD) date in that year
CPLC.ICSerialNumber;a8185928
CPLC.ICBatchIdentifier;a822
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.667000
ALG_DES_CBC_ISO9797_M1;yes;0.713000
ALG_DES_CBC_ISO9797_M2;yes;1.300000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0.693000
ALG_DES_ECB_ISO9797_M1;yes;1.299000
ALG_DES_ECB_ISO9797_M2;yes;1.311000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;no;
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.582000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;1.231000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;1.222000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.707000
ALG_AES_CBC_ISO9797_M2;yes;1.320000
