INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Satochip.io (https://github.com/Toporin);
Execution date/time; 2019/02/13 08:43:18
AlgTestJClient version; 1.7.6
AlgTest applet version; 1.7.6
Used reader; Feitian SCR301 0
Card ATR; 3b fe 18 00 00 80 31 fe 45 80 31 80 66 40 90 a5 10 2e 10 83 01 90 00 f2
Card name; Infineon-SLJ52GCA150
Card provider;  https://secure.smartcardsource.com/slj52gdl150cl-java-smart-card.html?category_id=10
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;3.0.4;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1671B;
JCSystem.getMaxCommitCapacity();1152B;
JCSystem.getMaxCommitCapacity();1152B;

CPLC; 9f 7f 2a 40 90 71 65 54 4c 21 51 2e 10 50 01 00 18 35 31 ab f2 40 92 62 93 40 93 62 93 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4090;Infineon
CPLC.ICType;7165
CPLC.OperatingSystemID;544c
CPLC.OperatingSystemReleaseDate;2151
CPLC.OperatingSystemReleaseLevel;2e10
CPLC.ICFabricationDate;5001;(Y DDD) date in that year
CPLC.ICSerialNumber;00183531
CPLC.ICBatchIdentifier;abf2
CPLC.ICModuleFabricator;4092
CPLC.ICModulePackagingDate;6293
CPLC.ICCManufacturer;4093
CPLC.ICEmbeddingDate;6293
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.119000
ALG_DES_CBC_ISO9797_M1;yes;0.127000
ALG_DES_CBC_ISO9797_M2;yes;0.088000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0.120000
ALG_DES_ECB_ISO9797_M1;yes;0.088000
ALG_DES_ECB_ISO9797_M2;yes;0.119000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.085000
ALG_RSA_ISO9796;yes;0.120000
ALG_RSA_NOPAD;yes;0.086000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.119000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.086000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.121000
ALG_DES_MAC8_NOPAD;yes;0.102000
ALG_DES_MAC4_ISO9797_M1;yes;0.102000
ALG_DES_MAC8_ISO9797_M1;yes;0.103000
ALG_DES_MAC4_ISO9797_M2;yes;0.103000
ALG_DES_MAC8_ISO9797_M2;yes;0.101000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0.099000
ALG_RSA_SHA_PKCS1;yes;0.089000
ALG_RSA_MD5_PKCS1;yes;0.096000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.095000
ALG_AES_MAC_128_NOPAD;yes;0.096000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.096000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.096000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.093000
ALG_ECDSA_SHA_384;yes;0.090000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.097000
ALG_ECDSA_SHA_512;yes;0.095000
ALG_RSA_SHA_224_PKCS1;no;
ALG_RSA_SHA_256_PKCS1;no;
ALG_RSA_SHA_384_PKCS1;no;
ALG_RSA_SHA_512_PKCS1;no;
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;no;
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;
ALG_AES_CMAC_128;no;

javacard.security.MessageDigest
ALG_SHA;yes;0.097000
ALG_MD5;yes;0.097000
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0.101000
ALG_SHA_384;yes;0.093000
ALG_SHA_512;yes;0.090000
ALG_SHA_224;yes;0.097000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.062000
ALG_SECURE_RANDOM;yes;0.062000
ALG_TRNG;no;
ALG_ALG_PRESEEDED_DRBG;no;
ALG_FAST;no;
ALG_KEYGENERATION;no;

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0.105000
TYPE_DES_TRANSIENT_DESELECT;yes;0.105000
TYPE_DES LENGTH_DES;yes;0.108000
TYPE_DES LENGTH_DES3_2KEY;yes;0.092000
TYPE_DES LENGTH_DES3_3KEY;yes;0.109000
TYPE_AES_TRANSIENT_RESET;yes;0.101000
TYPE_AES_TRANSIENT_DESELECT;yes;0.094000
TYPE_AES LENGTH_AES_128;yes;0.116000
TYPE_AES LENGTH_AES_192;yes;0.086000
TYPE_AES LENGTH_AES_256;yes;0.115000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0.119000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0.129000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0.089000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0.135000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0.122000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0.101000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0.134000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0.148000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0.104000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0.127000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0.098000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0.141000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0.140000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0.110000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0.144000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0.180000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0.130000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0.184000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;yes;0.097000
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;yes;0.103000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0.128000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0.147000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0.140000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0.114000
