INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2020/05/12 18:12:58
AlgTestJClient version; 1.7.9
AlgTest applet version; 1.7.9
Used reader; FeiTian Ltd JavaCard Token V1.0 0
Card ATR; 3b fc 18 00 00 81 31 80 45 90 67 46 4a 01 01 68 06 00 00 00 00 04
Card name; FeiTian Ltd JavaCard Token V1.0 0
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;9121B;
JCSystem.getMaxCommitCapacity();512B;
APDU.getInBlockSize();128B;
APDU.getOutBlockSize();254B;
APDU.getProtocol();1B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 00 12 00 00 01 0b 02 05 5b 41 00 15 00 2e 00 09 40 90 78 92 92 31 00 01 01 68 86 aa 00 08 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;0012;unknown
CPLC.ICType;0000
CPLC.OperatingSystemID;010b
CPLC.OperatingSystemReleaseDate;0205
CPLC.OperatingSystemReleaseLevel;5b41
CPLC.ICFabricationDate;0015;(Y DDD) date in that year
CPLC.ICSerialNumber;002e0009
CPLC.ICBatchIdentifier;4090
CPLC.ICModuleFabricator;7892
CPLC.ICModulePackagingDate;9231
CPLC.ICCManufacturer;0001
CPLC.ICEmbeddingDate;0168
CPLC.ICPrePersonalizer;86aa
CPLC.ICPrePersonalizationEquipmentDate;0008
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.048000
ALG_DES_CBC_ISO9797_M1;yes;0.055000
ALG_DES_CBC_ISO9797_M2;yes;0.057000
ALG_DES_CBC_PKCS5;yes;0.052000
ALG_DES_ECB_NOPAD;yes;0.053000
ALG_DES_ECB_ISO9797_M1;yes;0.057000
ALG_DES_ECB_ISO9797_M2;yes;0.049000
ALG_DES_ECB_PKCS5;yes;0.048000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.048000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.049000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.053000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.057000
ALG_RSA_PKCS1_OAEP;yes;0.048000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.057000
ALG_AES_CBC_ISO9797_M2;yes;0.053000
ALG_AES_CBC_PKCS5;yes;0.054000
ALG_AES_ECB_ISO9797_M1;yes;0.048000
ALG_AES_ECB_ISO9797_M2;yes;0.049000
ALG_AES_ECB_PKCS5;yes;0.049000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.052000
ALG_DES_MAC8_NOPAD;yes;0.049000
ALG_DES_MAC4_ISO9797_M1;yes;0.050000
ALG_DES_MAC8_ISO9797_M1;yes;0.057000
ALG_DES_MAC4_ISO9797_M2;yes;0.051000
ALG_DES_MAC8_ISO9797_M2;yes;0.049000
ALG_DES_MAC4_PKCS5;yes;0.050000
ALG_DES_MAC8_PKCS5;yes;0.057000
ALG_RSA_SHA_ISO9796;yes;0.050000
ALG_RSA_SHA_PKCS1;yes;0.054000
ALG_RSA_MD5_PKCS1;yes;0.057000
ALG_RSA_RIPEMD160_ISO9796;no;
