INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2014/11/10 20:53:34
AlgTestJClient version; 1.2.1
AlgTest applet version; error
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 0
Card ATR; 3b 7e 94 00 00 80 25 a0 00 00 00 28 56 80 10 21 00 01 08 
Used protocol; T=0

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;-1415649215,419000
ALG_DES_CBC_ISO9797_M1;yes;-1415649215,450000
ALG_DES_CBC_ISO9797_M2;yes;-1415649215,497000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0,109000
ALG_DES_ECB_ISO9797_M1;yes;-1415649215,715000
ALG_DES_ECB_ISO9797_M2;yes;-1415649215,746000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;-1415649215,902000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;-1415649216,011000
ALG_AES_BLOCK_128_CBC_NOPAD;no;
ALG_AES_BLOCK_128_ECB_NOPAD;no;
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;-1415649217,057000
ALG_DES_MAC8_NOPAD;yes;-1415649217,088000
ALG_DES_MAC4_ISO9797_M1;yes;-1415649217,119000
ALG_DES_MAC8_ISO9797_M1;yes;-1415649217,150000
ALG_DES_MAC4_ISO9797_M2;yes;-1415649217,182000
ALG_DES_MAC8_ISO9797_M2;yes;-1415649217,213000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;-1415649217,369000
ALG_RSA_SHA_PKCS1;yes;-1415649217,416000
ALG_RSA_MD5_PKCS1;yes;-1415649217,447000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;no;
