INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2014/06/19 16:51:51
AlgTestJClient version; 1.2.1
AlgTest applet version; 1.2
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 0
Card ATR; 3b f8 13 00 00 81 31 fe 45 4a 43 4f 50 76 32 34 31 b7 
Used protocol; T=1
javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes
ALG_DES_CBC_ISO9797_M1;yes
ALG_DES_CBC_ISO9797_M2;yes
ALG_DES_CBC_PKCS5;yes
ALG_DES_ECB_NOPAD;yes
ALG_DES_ECB_ISO9797_M1;yes
ALG_DES_ECB_ISO9797_M2;yes
ALG_DES_ECB_PKCS5;no
ALG_RSA_ISO14888;no
ALG_RSA_PKCS1;yes
ALG_RSA_ISO9796;no
ALG_RSA_NOPAD;yes
ALG_AES_BLOCK_128_CBC_NOPAD;yes
ALG_AES_BLOCK_128_ECB_NOPAD;yes
ALG_RSA_PKCS1_OAEP;no
ALG_KOREAN_SEED_ECB_NOPAD;yes
ALG_KOREAN_SEED_CBC_NOPAD;yes
ALG_AES_BLOCK_192_CBC_NOPAD;no
ALG_AES_BLOCK_192_ECB_NOPAD;no
ALG_AES_BLOCK_256_CBC_NOPAD;no
ALG_AES_BLOCK_256_ECB_NOPAD;no
ALG_AES_CBC_ISO9797_M1;no
ALG_AES_CBC_ISO9797_M2;no
ALG_AES_CBC_PKCS5;no
ALG_AES_ECB_ISO9797_M1;no
ALG_AES_ECB_ISO9797_M2;no
ALG_AES_ECB_PKCS5;no
