INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2014/06/05 09:55:19
AlgTestJClient version; 1.2.1
AlgTest applet version; error
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 0
Card ATR; 3b 6e 00 00 80 25 a0 00 00 00 28 56 80 10 21 00 01 08 
Used protocol; T=0
Testing of algorithm class 'javacardx.crypto.Cipher' skipped by user
javacard.crypto.Signature;
ALG_DES_MAC4_NOPAD;error(ILLEGAL_VALUE);
ALG_DES_MAC8_NOPAD;error(ILLEGAL_VALUE);
ALG_DES_MAC4_ISO9797_M1;error(ILLEGAL_VALUE);
ALG_DES_MAC8_ISO9797_M1;error(ILLEGAL_VALUE);
ALG_DES_MAC4_ISO9797_M2;error(ILLEGAL_VALUE);
ALG_DES_MAC8_ISO9797_M2;error(ILLEGAL_VALUE);
ALG_DES_MAC4_PKCS5;yes;
ALG_DES_MAC8_PKCS5;yes;
ALG_RSA_SHA_ISO9796;error(ILLEGAL_VALUE);
ALG_RSA_SHA_PKCS1;error(ILLEGAL_VALUE);
ALG_RSA_MD5_PKCS1;error(ILLEGAL_VALUE);
ALG_RSA_RIPEMD160_ISO9796;yes;
ALG_RSA_RIPEMD160_PKCS1;yes;
ALG_DSA_SHA;yes;
ALG_RSA_SHA_RFC2409;yes;
ALG_RSA_MD5_RFC2409;yes;
ALG_ECDSA_SHA;yes;
ALG_AES_MAC_128_NOPAD;yes;
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;
ALG_RSA_SHA_PKCS1_PSS;yes;
ALG_RSA_MD5_PKCS1_PSS;yes;
ALG_RSA_RIPEMD160_PKCS1_PSS;yes;
ALG_HMAC_SHA1;yes;
ALG_HMAC_SHA_256;yes;
ALG_HMAC_SHA_384;yes;
ALG_HMAC_SHA_512;yes;
ALG_HMAC_MD5;yes;
ALG_HMAC_RIPEMD160;yes;
ALG_RSA_SHA_ISO9796_MR;yes;
ALG_RSA_RIPEMD160_ISO9796_MR;yes;
ALG_SEED_MAC_NOPAD;yes;
ALG_ECDSA_SHA_384;error(ILLEGAL_USE);
ALG_AES_MAC_192_NOPAD;error(ILLEGAL_USE);
ALG_AES_MAC_256_NOPAD;error(ILLEGAL_USE);
ALG_ECDSA_SHA_224;error(ILLEGAL_USE);
ALG_ECDSA_SHA_512;error(ILLEGAL_USE);
ALG_RSA_SHA_224_PKCS1;error(ILLEGAL_USE);
ALG_RSA_SHA_256_PKCS1;error(ILLEGAL_USE);
ALG_RSA_SHA_384_PKCS1;error(ILLEGAL_USE);
ALG_RSA_SHA_512_PKCS1;error(ILLEGAL_USE);
ALG_RSA_SHA_224_PKCS1_PSS;error(ILLEGAL_USE);
ALG_RSA_SHA_256_PKCS1_PSS;error(ILLEGAL_USE);
ALG_RSA_SHA_384_PKCS1_PSS;error(ILLEGAL_USE);
ALG_RSA_SHA_512_PKCS1_PSS;error(ILLEGAL_USE);
ALG_DES_MAC4_ISO9797_1_M1_ALG3;error(ILLEGAL_USE);
ALG_DES_MAC8_ISO9797_1_M1_ALG3;error(ILLEGAL_USE);
