3b fc 18 00 00 81 31 80 45 90 67 46 4a 01 00 20 05 00 00 00 00 4e;Feitian JavaCOS A40
3b dc 18 ff 81 91 fe 1f c3 80 73 c8 21 13 66 05 03 63 51 00 02 50;NXP JCOP3 J3H145 SCP03 RSA4K
3b 94 95 81 01 46 54 56 01 c4;NXP JCOP J3H145G C4
3B FA 18 00 00 81 31 FE 45 4A 43 4F 50 33 31 56 32 33 32 98 (provided_by_Licel_jCardSim);jCardSim-3.0.5-SNAPSHOT
3b 88 80 01 4a 43 4f 50 76 32 34 31 5e;NXP JCOP J3A040
3b fe 18 00 00 80 31 fe 45 53 43 45 36 30 2d 43 44 30 38 31 2d 6e 46 a9;G+D Smartcafe 6.0 80K
3b d5 18 ff 81 91 fe 1f c3 80 73 c8 21 13 09;Athena IDProtect
3b f9 96 00 00 80 31 fe 45 53 43 45 37 20 00 00 20 20 27;G+D Smartcafe 7.0
3B:7E:94:00:00:80:25:A0:00:00:00:28:56:80:10:21:00:01:08;Gemplus GXPE64PK TOP IM GX3
3b df 95 ff 80 91 fe 1f c3 80 25 a0 00 00 00 68 53 19 00 01 73 c8 21 13 29;Credentsys Lite
3b;NXP JCOP4 P71 NoECC
3b f9 18 00 ff 81 31 fe 45 50 56 5f 4a 33 41 30 38 31 4d;NXP JCOP J3A081
3b fc 18 00 00 81 31 80 45 90 67 46 4a 01 00 10 04 f2 72 fe 00 01;Feitian JavaCOS A22CR-ECC-SHA-2
3b 8a 80 01 53 4c 43 4f 53 20 54 3d 43 4c 0d;Softlock SLCOS InfineonSLE78
3b f9 96 00 00 81 31 fe 45 53 43 45 37 20 0e 00 20 20 28;G+D SmartCafe 7.0 215K USB Token S
3b 69 00 02 41 43 4f 53 4a 76 31 30 31;ACS ACOSJ 40K
3b 8b 80 01 00 31 c0 64 08 44 03 04 00 90 00 44;Idemia COSMO FLY v5.8
3b f7 18 00 00 80 31 fe 45 73 66 74 65 2d 6e 66 c4;G+D Smartcafe Expert 3.2 72K
3b 88 80 01 00 00 00 11 77 81 83 00 6d;NFC Ring Omni
3b 8c 80 01 90 67 46 4a 01 00 25 04 00 00 00 00 d6;Feitian JavaCOS A22CR
3b 6a 00 00 09 44 31 31 43 52 02 00 25 c3;Feitian Java Card D11CR
3b 9c 95 80 81 1f 03 90 67 46 4a 01 00 41 06 f2 72 7e 00 57;Feitian A40CR
3b 8a 80 01 4a 43 4f 50 33 31 56 32 33 32 7a;NXP JCOP 31 V2.3.2
3b 61 00 00 80;Feitian Fingerprint card
3b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;[undisclosed6]
3b f9 18 00 00 81 31 fe 45 4a 43 4f 50 32 31 56 32 32 a9;NXP JCOP 21 V2.2 36K
3b f8 13 00 00 81 31 fe 45 4a 43 4f 50 76 32 34 31 b7;NXP JCOP CJ3A081 JC222
3b f9 18 00 00 81 31 fe 45 50 56 5f 4a 33 45 30 38 32 b5;NXP JCOP3 J3E145
3b d5 18 ff 81 91 fe 1f c3 80 73 c8 21 10 0a;NXP JCOP4 J3R180 SecID Feitian
3b fa 18 00 ff 81 31 fe 45 4a 43 4f 50 34 31 56 32 33 31 63;NXP JCOP41 v2.3.1
3b fc 18 00 00 81 31 80 45 90 67 46 4a 01 64 2f 70 c1 72 fe e0 fd;Feitian eJava Token
3b fa 18 00 00 81 31 fe 45 50 56 4a 43 4f 50 33 45 4d 56 94;NXP JCOP3 J3H081 EMV
3b f6 18 00 ff 81 31 fe 45 4a 32 41 30 38 30 1b;NXP JCOP J2A080
3b fa 18 00 00 81 31 fe 45 4a 43 4f 50 34 31 56 32 32 31 9d;NXP JCOP41 v221
3b fd 96 00 00 81 31 fe 45 53 4c 4a 35 32 47 44 4c 31 32 38 43 52 57;Infineon SLE78 Universal JCard
3b 80 80 01 01;JavaCardOS JC10M24R
3b 89 80 01 53 50 49 56 4b 45 59 37 30 44;PIVKey C980
3b f9 18 00 00 81 31 fe 45 4a 32 44 30 38 31 5f 50 56 b6;NXP JCOP J2D081
3b f9 13 00 00 81 31 fe 45 4a 43 4f 50 32 34 32 52 32 a3;NXP JCOP J3D081 v242r2
3b b8 97 00 c0 08 31 fe 45 ff ff 13 57 30 50 23 00 6a;Infineon SECORA ID S (SCP02 with RSA2k JC305 GP230)
3B:F8:13:00:00:81:31:FE:45:4A:43:4F:50:76:32:34:31:B7;NXP JCOP CJ3A080v241
3b fc 18 00 00 81 31 80 45 90 67 46 4a 01 00 87 06 00 00 00 00 ea;Feitian-FTJCOS
3b fc 18 00 00 81 31 80 45 90 67 46 4a 00 68 08 04 00 00 00 00 0e;Feitian JavaCOS A22
3b 9c 95 80 81 1f 03 90 67 46 4a 01 00 35 04 f2 72 fe 00 a1;Feitian JavaCOS A22CR
3b 9e 95 81 01 41 4a 43 4f 53 01 45 48 54 01 52 01 56 00 83;NXP JCOP3 J3H145 (JCOP 3 SECID P60)
3b 11 95 80;NXP JCOP3 J3H145 SECID P60
3b 7d 94 00 00 80 31 80 65 b0 83 11 11 ac 83 00 90 00;Gemalto TwinGCX4 72k
3b 9f 96 80 1f c7 80 31 a0 73 be 21 13 67 43 20 07 18 00 00 01 a5;sysmocom sysmoUSIM-SJS1-3FF
3b 9f 95 81 31 fe 9f 00 66 46 53 05 10 00 ff 71 df 00 00 00 00 00 ec;Feitian JavaSD
3b fa 13 00 00 81 31 fe 45 4a 43 4f 50 31 30 56 32 33 31 93;NXP JCOP 10.18 v2.3.1
3b f8 18 00 00 81 31 fe 45 4a 43 4f 50 76 32 34 31 bc;NXP JCOP J2A080 80K
3b fa 18 00 ff 10 00 4a 54 61 78 43 6f 72 65 56 31;NXP JCOP4 J3R180 P71
3b fe 95 00 00 81 31 fe 45 ff 43 52 59 50 54 4e 4f 58 20 43 41 52 44 be;NXP JCOP4 J3R110
